DIRECCION_SECCIONAL,TIPO_MPUESTO,VALOR
ARAUCA,PRECIOS DE TRANSFERENCIA, 0  
ARAUCA,GMF, 0  
ARAUCA,CONSUMO, 530 
ARAUCA,GASOLINA Y ACPM, 0  
ARAUCA,CREE RETENCIONES, 12 
ARAUCA,CREE DECLARACIONES, 278 
ARAUCA,AL CARBONO, 0  
ARAUCA,POR CLASIFICAR, 171 
ARMENIA,RENTA CUOTAS, 69.179 
ARMENIA,IVA DECLARACIONES, 118.276 
ARMENIA,RETENCIONES, 114.100 
ARMENIA,EXTERNOS, 19.241 
ARMENIA,SEGURIDAD DEMOCRATICA, 7 
BUCARAMANGA,PATRIMONIO, 559 
MONTERIA,RIQUEZA, 6.376 
ARMENIA,PRECIOS DE TRANSFERENCIA, 3 
ARMENIA,GMF, 716 
ARMENIA,CONSUMO, 12.313 
ARMENIA,GASOLINA Y ACPM, 0 
ARMENIA,CREE RETENCIONES, 12 
ARMENIA,CREE DECLARACIONES, 773 
ARMENIA,AL CARBONO, 0  
ARMENIA,POR CLASIFICAR, 825 
BARRANCABERMEJA,RENTA CUOTAS, 24.545 
BARRANCABERMEJA,IVA DECLARACIONES, 74.466 
BARRANCABERMEJA,RETENCIONES, 73.209 
BARRANCABERMEJA,EXTERNOS, 13 
BARRANCABERMEJA,SEGURIDAD DEMOCRATICA, 0  
CUCUTA,PATRIMONIO, 310 
CUCUTA,RIQUEZA, 4.903 
BARRANCABERMEJA,PRECIOS DE TRANSFERENCIA, 0  
BARRANCABERMEJA,GMF, 322 
BARRANCABERMEJA,CONSUMO, 2.719 
BARRANCABERMEJA,GASOLINA Y ACPM, 0  
BARRANCABERMEJA,CREE RETENCIONES, 5 
BARRANCABERMEJA,CREE DECLARACIONES, 409 
BARRANCABERMEJA,AL CARBONO, 0  
BARRANCABERMEJA,POR CLASIFICAR, 526 
BARRANQUILLA,RENTA CUOTAS, 475.469 
BARRANQUILLA,IVA DECLARACIONES, 1.436.136 
BARRANQUILLA,RETENCIONES, 2.122.875 
BARRANQUILLA,EXTERNOS, 0  
BARRANQUILLA,SEGURIDAD DEMOCRATICA, 0 
TULUA,PATRIMONIO, 207 
VILLAVICENCIO,RIQUEZA, 4.730 
BARRANQUILLA,PRECIOS DE TRANSFERENCIA, 10 
BARRANQUILLA,GMF, 1.516 
BARRANQUILLA,CONSUMO, 97.605 
BARRANQUILLA,GASOLINA Y ACPM, 0 
BARRANQUILLA,CREE RETENCIONES, 552 
BARRANQUILLA,CREE DECLARACIONES, 6.971 
BARRANQUILLA,AL CARBONO, 476 
BARRANQUILLA,POR CLASIFICAR, 1.515 
BUCARAMANGA,RENTA CUOTAS, 447.385 
BUCARAMANGA,IVA DECLARACIONES, 598.880 
BUCARAMANGA,RETENCIONES, 795.150 
BUCARAMANGA,EXTERNOS, 82.818 
BUCARAMANGA,SEGURIDAD DEMOCRATICA, 0  
PEREIRA,PATRIMONIO, 199 
MANIZALES,RIQUEZA, 4.119 
BUCARAMANGA,PRECIOS DE TRANSFERENCIA, 13 
BUCARAMANGA,GMF, 20.546 
BUCARAMANGA,CONSUMO, 55.051 
BUCARAMANGA,GASOLINA Y ACPM, 7 
BUCARAMANGA,CREE RETENCIONES, 336 
BUCARAMANGA,CREE DECLARACIONES, 7.710 
BUCARAMANGA,AL CARBONO, 0  
BUCARAMANGA,POR CLASIFICAR, 1.125 
BUENAVENTURA,RENTA CUOTAS, 21.609 
BUENAVENTURA,IVA DECLARACIONES, 49.452 
BUENAVENTURA,RETENCIONES, 100.310 
BUENAVENTURA,EXTERNOS, 6.960.848 
BUENAVENTURA,SEGURIDAD DEMOCRATICA, 0  
SAN ANDRES,PATRIMONIO, 167 
CARTAGENA,RIQUEZA, 4.113 
BUENAVENTURA,PRECIOS DE TRANSFERENCIA, 0  
BUENAVENTURA,GMF, 8 
BUENAVENTURA,CONSUMO, 1.799 
BUENAVENTURA,GASOLINA Y ACPM, 0 
BUENAVENTURA,CREE RETENCIONES, 32 
BUENAVENTURA,CREE DECLARACIONES, 240 
BUENAVENTURA,AL CARBONO, 0  
BUENAVENTURA,POR CLASIFICAR, 325 
CALI,RENTA CUOTAS, 883.443 
CALI,IVA DECLARACIONES, 2.518.518 
CALI,RETENCIONES, 3.060.161 
CALI,EXTERNOS, 0  
CALI,SEGURIDAD DEMOCRATICA, 0  
MONTERIA,PATRIMONIO, 101 
VALLEDUPAR,RIQUEZA, 3.718 
CALI,PRECIOS DE TRANSFERENCIA, 161 
CALI,GMF, 467.044 
CALI,CONSUMO, 183.685 
CALI,GASOLINA Y ACPM, 0 
CALI,CREE RETENCIONES, 713 
CALI,CREE DECLARACIONES, 10.767 
CALI,AL CARBONO, 0  
CALI,POR CLASIFICAR, 3.827 
CARTAGENA,RENTA CUOTAS, 271.106 
CARTAGENA,IVA DECLARACIONES, 1.539.115 
CARTAGENA,RETENCIONES, 780.866 
CARTAGENA,EXTERNOS, 0  
CARTAGENA,SEGURIDAD DEMOCRATICA, 4 
PASTO,PATRIMONIO, 90 
IBAGUE,RIQUEZA, 3.145 
CARTAGENA,PRECIOS DE TRANSFERENCIA, 151 
CARTAGENA,GMF, 63 
CARTAGENA,CONSUMO, 59.777 
CARTAGENA,GASOLINA Y ACPM, 533.778 
CARTAGENA,CREE RETENCIONES, 279 
CARTAGENA,CREE DECLARACIONES, 4.518 
CARTAGENA,AL CARBONO, 62.160 
CARTAGENA,POR CLASIFICAR, 743 
CUCUTA,RENTA CUOTAS, 115.953 
CUCUTA,IVA DECLARACIONES, 173.095 
CUCUTA,RETENCIONES, 300.814 
CUCUTA,EXTERNOS, 0  
CUCUTA,SEGURIDAD DEMOCRATICA, 0 
ARMENIA,PATRIMONIO, 87 
ARMENIA,RIQUEZA, 2.560 
CUCUTA,PRECIOS DE TRANSFERENCIA, 0  
CUCUTA,GMF, 2.372 
CUCUTA,CONSUMO, 13.924 
CUCUTA,GASOLINA Y ACPM, 0  
CUCUTA,CREE RETENCIONES, 639 
CUCUTA,CREE DECLARACIONES, 1.001 
CUCUTA,AL CARBONO, 0  
CUCUTA,POR CLASIFICAR, 1.204 
FLORENCIA,RENTA CUOTAS, 17.184 
FLORENCIA,IVA DECLARACIONES, 27.032 
FLORENCIA,RETENCIONES, 46.102 
FLORENCIA,EXTERNOS, 0  
FLORENCIA,SEGURIDAD DEMOCRATICA, 0  
PALMIRA,PATRIMONIO, 83 
POPAYAN,RIQUEZA, 2.056 
FLORENCIA,PRECIOS DE TRANSFERENCIA, 0  
FLORENCIA,GMF, 16 
FLORENCIA,CONSUMO, 1.011 
