DIRECCION_SECCIONAL,TIPO_MPUESTO,VALOR
SAN ANDRES,PRECIOS DE TRANSFERENCIA, 0  
SAN ANDRES,GMF, 0  
SAN ANDRES,CONSUMO, 33 
SAN ANDRES,GASOLINA Y ACPM, 0  
SAN ANDRES,CREE RETENCIONES, 31 
SAN ANDRES,CREE DECLARACIONES, 235 
SAN ANDRES,AL CARBONO, 0  
SAN ANDRES,POR CLASIFICAR, 308 
SAN JOSE DEL GUAVIARE,RENTA CUOTAS, 1.956 
SAN JOSE DEL GUAVIARE,IVA DECLARACIONES, 2.609 
SAN JOSE DEL GUAVIARE,RETENCIONES, 9.302 
SAN JOSE DEL GUAVIARE,EXTERNOS, 0  
SAN JOSE DEL GUAVIARE,SEGURIDAD DEMOCRATICA, 0  
INIRIDA,PATRIMONIO, 0  
PUERTO CARREÑO,RIQUEZA, 4 
SAN JOSE DEL GUAVIARE,PRECIOS DE TRANSFERENCIA, 0  
SAN JOSE DEL GUAVIARE,GMF, 5 
SAN JOSE DEL GUAVIARE,CONSUMO, 244 
SAN JOSE DEL GUAVIARE,GASOLINA Y ACPM, 0  
SAN JOSE DEL GUAVIARE,CREE RETENCIONES, 0  
SAN JOSE DEL GUAVIARE,CREE DECLARACIONES, 67 
SAN JOSE DEL GUAVIARE,AL CARBONO, 0  
SAN JOSE DEL GUAVIARE,POR CLASIFICAR, 1 
SANTA MARTA,RENTA CUOTAS, 94.360 
SANTA MARTA,IVA DECLARACIONES, 136.886 
SANTA MARTA,RETENCIONES, 229.148 
SANTA MARTA,EXTERNOS, 1.107.469 
SANTA MARTA,SEGURIDAD DEMOCRATICA, 0 
IPIALES,PATRIMONIO, 0  
ADUANAS BARRANQUILLA,RIQUEZA, 0  
SANTA MARTA,PRECIOS DE TRANSFERENCIA, 7 
SANTA MARTA,GMF, 2 
SANTA MARTA,CONSUMO, 24.645 
SANTA MARTA,GASOLINA Y ACPM, 0 
SANTA MARTA,CREE RETENCIONES, 73 
SANTA MARTA,CREE DECLARACIONES, 2.328 
SANTA MARTA,AL CARBONO, 0  
SANTA MARTA,POR CLASIFICAR, 643 
SINCELEJO,RENTA CUOTAS, 29.793 
SINCELEJO,IVA DECLARACIONES, 42.444 
SINCELEJO,RETENCIONES, 62.241 
SINCELEJO,EXTERNOS, 1 
SINCELEJO,SEGURIDAD DEMOCRATICA, 1 
LETICIA,PATRIMONIO, 0  
ADUANAS BOGOTA,RIQUEZA, 0  
SINCELEJO,PRECIOS DE TRANSFERENCIA, 0  
SINCELEJO,GMF, 0  
SINCELEJO,CONSUMO, 2.119 
SINCELEJO,GASOLINA Y ACPM, 0  
SINCELEJO,CREE RETENCIONES, 45 
SINCELEJO,CREE DECLARACIONES, 1.482 
SINCELEJO,AL CARBONO, 0  
SINCELEJO,POR CLASIFICAR, 404 
SOGAMOSO,RENTA CUOTAS, 43.364 
SOGAMOSO,IVA DECLARACIONES, 73.960 
SOGAMOSO,RETENCIONES, 65.028 
SOGAMOSO,EXTERNOS, 1 
SOGAMOSO,SEGURIDAD DEMOCRATICA, 0  
MAICAO,PATRIMONIO, 0  
ADUANAS CALI,RIQUEZA, 0  
SOGAMOSO,PRECIOS DE TRANSFERENCIA, 0  
SOGAMOSO,GMF, 43 
SOGAMOSO,CONSUMO, 4.014 
SOGAMOSO,GASOLINA Y ACPM, 0  
SOGAMOSO,CREE RETENCIONES, 108 
SOGAMOSO,CREE DECLARACIONES, 320 
SOGAMOSO,AL CARBONO, 0  
SOGAMOSO,POR CLASIFICAR, 258 
TULUA,RENTA CUOTAS, 64.683 
TULUA,IVA DECLARACIONES, 109.952 
TULUA,RETENCIONES, 154.808 
TULUA,EXTERNOS, 0  
TULUA,SEGURIDAD DEMOCRATICA, 0  
MITU,PATRIMONIO, 0  
ADUANAS DE CARTAGENA,RIQUEZA, 0  
TULUA,PRECIOS DE TRANSFERENCIA, 0  
TULUA,GMF, 862 
TULUA,CONSUMO, 4.301 
TULUA,GASOLINA Y ACPM, 0  
TULUA,CREE RETENCIONES, 33 
TULUA,CREE DECLARACIONES, 108 
TULUA,AL CARBONO, 0  
TULUA,POR CLASIFICAR, 249 
TUNJA,RENTA CUOTAS, 74.830 
TUNJA,IVA DECLARACIONES, 104.487 
TUNJA,RETENCIONES, 194.498 
TUNJA,EXTERNOS, 11 
TUNJA,SEGURIDAD DEMOCRATICA, 0  
PUERTO CARREÑO,PATRIMONIO, 0  
ADUANAS DE CUCUTA,RIQUEZA, 0  
TUNJA,PRECIOS DE TRANSFERENCIA, 0  
TUNJA,GMF, 867 
TUNJA,CONSUMO, 13.541 
TUNJA,GASOLINA Y ACPM, 0 
TUNJA,CREE RETENCIONES, 159 
TUNJA,CREE DECLARACIONES, 754 
TUNJA,AL CARBONO, 0  
TUNJA,POR CLASIFICAR, 912 
URABA,RENTA CUOTAS, 0  
URABA,IVA DECLARACIONES, 0  
URABA,RETENCIONES, 0  
URABA,EXTERNOS, 51.509 
URABA,SEGURIDAD DEMOCRATICA, 0  
SAN JOSE DEL GUAVIARE,PATRIMONIO, 0  
ADUANAS DE MEDELLIN,RIQUEZA, 0  
URABA,PRECIOS DE TRANSFERENCIA, 0  
URABA,GMF, 0  
URABA,CONSUMO, 0  
URABA,GASOLINA Y ACPM, 0  
URABA,CREE RETENCIONES, 0  
URABA,CREE DECLARACIONES, 0  
URABA,AL CARBONO, 0  
URABA,POR CLASIFICAR, 0  
VALLEDUPAR,RENTA CUOTAS, 48.237 
VALLEDUPAR,IVA DECLARACIONES, 69.811 
VALLEDUPAR,RETENCIONES, 123.148 
VALLEDUPAR,EXTERNOS, 12.397 
VALLEDUPAR,SEGURIDAD DEMOCRATICA, 0  
SOGAMOSO,PATRIMONIO, 0  
IPIALES,RIQUEZA, 0  
VALLEDUPAR,PRECIOS DE TRANSFERENCIA, 0  
VALLEDUPAR,GMF, 26 
VALLEDUPAR,CONSUMO, 4.697 
VALLEDUPAR,GASOLINA Y ACPM, 0 
VALLEDUPAR,CREE RETENCIONES, 82 
VALLEDUPAR,CREE DECLARACIONES, 1.198 
VALLEDUPAR,AL CARBONO, 0  
VALLEDUPAR,POR CLASIFICAR, 635 
VILLAVICENCIO,RENTA CUOTAS, 95.116 
VILLAVICENCIO,IVA DECLARACIONES, 131.871 
VILLAVICENCIO,RETENCIONES, 228.407 
VILLAVICENCIO,EXTERNOS, 0  
VILLAVICENCIO,SEGURIDAD DEMOCRATICA, 0  
TUNJA,PATRIMONIO, 0  
MAICAO,RIQUEZA, 0  
VILLAVICENCIO,PRECIOS DE TRANSFERENCIA, 0 
VILLAVICENCIO,GMF, 491 
VILLAVICENCIO,CONSUMO, 13.362 
VILLAVICENCIO,GASOLINA Y ACPM, 0 
VILLAVICENCIO,CREE RETENCIONES, 843 
VILLAVICENCIO,CREE DECLARACIONES, 1.882 
VILLAVICENCIO,AL CARBONO, 0  
VILLAVICENCIO,POR CLASIFICAR, 469 
YOPAL,RENTA CUOTAS, 22.522 
YOPAL,IVA DECLARACIONES, 61.488 
YOPAL,RETENCIONES, 89.532 
YOPAL,EXTERNOS, 4.201 
YOPAL,SEGURIDAD DEMOCRATICA, 0  
URABA,PATRIMONIO, 0  
URABA,RIQUEZA, 0  
YOPAL,PRECIOS DE TRANSFERENCIA, 0  
YOPAL,GMF, 68 
YOPAL,CONSUMO, 1.993 
YOPAL,GASOLINA Y ACPM, 0  
YOPAL,CREE RETENCIONES, 17 
YOPAL,CREE DECLARACIONES, 1.099 
YOPAL,AL CARBONO, 0  
YOPAL,POR CLASIFICAR, 235 
