FECHA;INCIDENTE;CANT_INCIDENTES
Aug 1 2014;ELECTROCUCIÓN / RESCATE;43
Aug 1 2014;QUEMADURAS;77
Aug 1 2014;EXPLOSIÓN;93
Aug 1 2014;VEHÍCULO RECUPERADO;101
Aug 1 2014;FUGA DE PRESOS;108
Aug 1 2014;MENOR EN ESTABLECIMIENTO MAYORES;108
Aug 1 2014;HALLAZGO DE EXPLOSIVOS;188
Aug 1 2015;DESARME;1
Aug 1 2015;SANGRADO VAGINAL;1
Aug 1 2015;ACCIDENTE DE AVIACIÓN;2
Aug 1 2015;RESCATES MONTAÑA;3
Aug 1 2015;ACCIÓN SUBVERSIVA;4
Aug 1 2015;SISMO;4
Aug 1 2015;PREVENCIÓN;8
Aug 1 2015;ABORTO;14
Aug 1 2015;RESTOS HUMANOS;15
Aug 1 2015;DESLIZAMIENTO;20
Aug 1 2015;INCIDENTE RESCATE ACUÁTICO;30
Aug 1 2015;ELECTROCUCIÓN / RESCATE;34
Aug 1 2015;AMENAZA DE RUINA;42
Aug 1 2015;INCENDIO CON MATPEL;65
Aug 1 2015;FUGA DE PRESOS;95
Aug 1 2015;QUEMADURAS;96
Aug 1 2015;EXPLOSIÓN;108
Aug 1 2015;VEHÍCULO RECUPERADO;110
Aug 1 2015;HALLAZGO DE EXPLOSIVOS;149
Aug 1 2015;MENOR EN ESTABLECIMIENTO MAYORES;152
Aug 1 2016;ACCIÓN SUBVERSIVA;1
Aug 1 2016;ABORTO;2
Aug 1 2016;RESCATES MONTAÑA;6
Aug 1 2016;PREVENCIÓN;8
Aug 1 2016;RESTOS HUMANOS;9
Aug 1 2016;INCENDIO CON MATPEL;17
Aug 1 2016;DESLIZAMIENTO;20
Aug 1 2016;INCIDENTE RESCATE ACUÁTICO;34
Aug 1 2016;ELECTROCUCIÓN / RESCATE;48
Aug 1 2016;SANGRADO VAGINAL;83
Aug 1 2016;VEHÍCULO RECUPERADO;109
Aug 1 2016;FUGA DE PRESOS;116
Aug 1 2016;HALLAZGO DE EXPLOSIVOS;117
Aug 1 2016;QUEMADURAS;124
Aug 1 2016;MENOR EN ESTABLECIMIENTO MAYORES;130
Aug 1 2016;EXPLOSIÓN;151
Aug 1 2016;AMENAZA DE RUINA;175
Aug 1 2017;ABORTO;1
Aug 1 2017;SISMO;1
Aug 1 2017;RESCATES MONTAÑA;4
Aug 1 2017;DESLIZAMIENTO;11
Aug 1 2017;RESTOS HUMANOS;15
Aug 1 2017;INCENDIO CON MATPEL;19
Aug 1 2017;INCIDENTE RESCATE ACUÁTICO;19
Aug 1 2017;ELECTROCUCIÓN / RESCATE;32
Aug 1 2017;AMENAZA DE RUINA;45
Aug 1 2017;QUEMADURAS;47
Aug 1 2017;EXPLOSIÓN;66
Aug 1 2017;SANGRADO VAGINAL;72
Aug 1 2017;MENOR EN ESTABLECIMIENTO MAYORES;106
Aug 1 2017;VEHÍCULO RECUPERADO;118
Aug 1 2017;FUGA DE PRESOS;130
Aug 1 2017;HALLAZGO DE EXPLOSIVOS;187
Aug 1 2018;DESARME;1
Aug 1 2018;RESCATES MONTAÑA;2
Aug 1 2018;ABORTO;3
Aug 1 2018;SISMO;4
Aug 1 2018;DESLIZAMIENTO;10
Aug 1 2018;INCENDIO CON MATPEL;14
Aug 1 2018;INCIDENTE RESCATE ACUÁTICO;14
Aug 1 2018;RESTOS HUMANOS;16
Aug 1 2018;QUEMADURAS;43
Aug 1 2018;ELECTROCUCIÓN / RESCATE;45
Aug 1 2018;SANGRADO VAGINAL;45
Aug 1 2018;EXPLOSIÓN;57
Aug 1 2018;MENOR EN ESTABLECIMIENTO MAYORES;86
Aug 1 2018;AMENAZA DE RUINA;108
Aug 1 2018;HALLAZGO DE EXPLOSIVOS;116
Aug 1 2018;VEHÍCULO RECUPERADO;116
Aug 1 2018;FUGA DE PRESOS;141
Aug 1 2019;ABORTO;2
Aug 1 2019;ACCIÓN SUBVERSIVA;3
Aug 1 2019;RESCATES MONTAÑA;6
Aug 1 2019;ELECTROCUCIÓN / RESCATE;7
Aug 1 2019;RESTOS HUMANOS;13
Aug 1 2019;INCENDIO CON MATPEL;22
Aug 1 2019;INCIDENTE RESCATE ACUÁTICO;29
Aug 1 2019;QUEMADURAS;32
Aug 1 2019;EXPLOSIÓN;38
Aug 1 2019;DESLIZAMIENTO;52
Aug 1 2019;SANGRADO VAGINAL;56
Aug 1 2019;AMENAZA DE RUINA;60
Aug 1 2019;HALLAZGO DE EXPLOSIVOS;82
Aug 1 2019;VEHÍCULO RECUPERADO;88
Aug 1 2019;MENOR EN ESTABLECIMIENTO MAYORES;103
Aug 1 2019;FUGA DE PRESOS;111
Dec 1 2014;ACCIÓN SUBVERSIVA;2
Dec 1 2014;SISMO;6
Dec 1 2014;PREVENCIÓN;10
Dec 1 2014;RESCATES MONTAÑA;10
Dec 1 2014;ABORTO;12
Dec 1 2014;RESTOS HUMANOS;19
Dec 1 2014;INCIDENTE RESCATE ACUÁTICO;24
Dec 1 2014;ELECTROCUCIÓN / RESCATE;44
Dec 1 2014;INCENDIO CON MATPEL;54
Dec 1 2014;DESLIZAMIENTO;56
Dec 1 2014;AMENAZA DE RUINA;77
Dec 1 2014;VEHÍCULO RECUPERADO;78
Dec 1 2014;MENOR EN ESTABLECIMIENTO MAYORES;107
Dec 1 2014;FUGA DE PRESOS;109
Dec 1 2014;EXPLOSIÓN;111
Dec 1 2014;HALLAZGO DE EXPLOSIVOS;137
Dec 1 2014;QUEMADURAS;163
Dec 1 2015;ACCIÓN SUBVERSIVA;1
Dec 1 2015;SANGRADO VAGINAL;1
Dec 1 2015;RESCATES MONTAÑA;2
Dec 1 2015;DESARME;3
Dec 1 2015;INCENDIO EN AERONAVE;4
Dec 1 2015;DESLIZAMIENTO;5
Dec 1 2015;PREVENCIÓN;7
Dec 1 2015;RESTOS HUMANOS;15
Dec 1 2015;ABORTO;22
Dec 1 2015;INCIDENTE RESCATE ACUÁTICO;38
Dec 1 2015;AMENAZA DE RUINA;43
Dec 1 2015;ELECTROCUCIÓN / RESCATE;52
Dec 1 2015;INCENDIO CON MATPEL;60
Dec 1 2015;MENOR EN ESTABLECIMIENTO MAYORES;93
Dec 1 2015;FUGA DE PRESOS;101
Dec 1 2015;VEHÍCULO RECUPERADO;107
Dec 1 2015;EXPLOSIÓN;126
Dec 1 2015;HALLAZGO DE EXPLOSIVOS;165
Dec 1 2015;QUEMADURAS;196
Dec 1 2016;ACCIDENTE DE AVIACIÓN;1
Dec 1 2016;ABORTO;2
Dec 1 2016;DESARME;2
Dec 1 2016;RESCATES MONTAÑA;4
Dec 1 2016;RESTOS HUMANOS;11
Dec 1 2016;DESLIZAMIENTO;14
Dec 1 2016;ELECTROCUCIÓN / RESCATE;17
Dec 1 2016;INCIDENTE RESCATE ACUÁTICO;21
Dec 1 2016;INCENDIO CON MATPEL;28
Dec 1 2016;AMENAZA DE RUINA;40
Dec 1 2016;SANGRADO VAGINAL;46
Dec 1 2016;EXPLOSIÓN;55
Dec 1 2016;QUEMADURAS;80
Dec 1 2016;VEHÍCULO RECUPERADO;105
Dec 1 2016;FUGA DE PRESOS;141
Dec 1 2016;HALLAZGO DE EXPLOSIVOS;143
Dec 1 2016;MENOR EN ESTABLECIMIENTO MAYORES;152
Dec 1 2017;SISMO;1
Dec 1 2017;ABORTO;4
Dec 1 2017;RESCATES MONTAÑA;5
Dec 1 2017;RESTOS HUMANOS;5
Dec 1 2017;ELECTROCUCIÓN / RESCATE;11
Dec 1 2017;INCENDIO CON MATPEL;17
Dec 1 2017;INCIDENTE RESCATE ACUÁTICO;19
Dec 1 2017;DESLIZAMIENTO;26
Dec 1 2017;SANGRADO VAGINAL;31
Dec 1 2017;AMENAZA DE RUINA;43
Dec 1 2017;QUEMADURAS;59
Dec 1 2017;EXPLOSIÓN;79
Dec 1 2017;VEHÍCULO RECUPERADO;101
Dec 1 2017;MENOR EN ESTABLECIMIENTO MAYORES;106
Dec 1 2017;HALLAZGO DE EXPLOSIVOS;112
Dec 1 2017;FUGA DE PRESOS;128
Dec 1 2018;ACCIÓN SUBVERSIVA;2
Dec 1 2018;ABORTO;3
Dec 1 2018;RESCATES MONTAÑA;4
Dec 1 2018;DESLIZAMIENTO;5
Dec 1 2018;INCIDENTE RESCATE ACUÁTICO;13
Dec 1 2018;RESTOS HUMANOS;14
Dec 1 2018;ELECTROCUCIÓN / RESCATE;18
Dec 1 2018;INCENDIO CON MATPEL;34
Dec 1 2018;QUEMADURAS;39
Dec 1 2018;SANGRADO VAGINAL;50
Dec 1 2018;AMENAZA DE RUINA;72
Dec 1 2018;HALLAZGO DE EXPLOSIVOS;75
Dec 1 2018;EXPLOSIÓN;76
Dec 1 2018;MENOR EN ESTABLECIMIENTO MAYORES;86
Dec 1 2018;VEHÍCULO RECUPERADO;114
Dec 1 2018;FUGA DE PRESOS;122
Feb 1 2014;ACCIDENTE DE AVIACIÓN;1
Feb 1 2014;DESARME;1
Feb 1 2014;ACCIÓN SUBVERSIVA;2
Feb 1 2014;SISMO;2
Feb 1 2014;RESCATES MONTAÑA;3
Feb 1 2014;RESTOS HUMANOS;13
Feb 1 2014;DESLIZAMIENTO;14
Feb 1 2014;ABORTO;22
Feb 1 2014;INCENDIO CON MATPEL;30
Feb 1 2014;INCIDENTE RESCATE ACUÁTICO;37
Feb 1 2014;ELECTROCUCIÓN / RESCATE;49
Feb 1 2014;AMENAZA DE RUINA;53
Feb 1 2014;QUEMADURAS;54
Feb 1 2014;VEHÍCULO RECUPERADO;80
Feb 1 2014;EXPLOSIÓN;92
Feb 1 2014;HALLAZGO DE EXPLOSIVOS;99
Feb 1 2014;MENOR EN ESTABLECIMIENTO MAYORES;108
Feb 1 2014;FUGA DE PRESOS;123
Feb 1 2015;ACCIDENTE DE AVIACIÓN;1
Feb 1 2015;DESARME;1
Feb 1 2015;SANGRADO VAGINAL;1
Feb 1 2015;SISMO;1
Feb 1 2015;DESLIZAMIENTO;2
Feb 1 2015;ACCIÓN SUBVERSIVA;4
Feb 1 2015;RESCATES MONTAÑA;4
Feb 1 2015;PREVENCIÓN;6
Feb 1 2015;INCENDIO EN AERONAVE;7
Feb 1 2015;INCIDENTE RESCATE ACUÁTICO;14
Feb 1 2015;RESTOS HUMANOS;15
Feb 1 2015;ABORTO;20
Feb 1 2015;INCENDIO CON MATPEL;23
Feb 1 2015;AMENAZA DE RUINA;25
Feb 1 2015;ELECTROCUCIÓN / RESCATE;36
Feb 1 2015;QUEMADURAS;86
Feb 1 2015;VEHÍCULO RECUPERADO;88
Feb 1 2015;FUGA DE PRESOS;97
Feb 1 2015;MENOR EN ESTABLECIMIENTO MAYORES;106
Feb 1 2015;EXPLOSIÓN;138
Feb 1 2015;HALLAZGO DE EXPLOSIVOS;175
Feb 1 2016;SISMO;1
Feb 1 2016;RESCATES MONTAÑA;3
Feb 1 2016;PREVENCIÓN;4
Feb 1 2016;ACCIÓN SUBVERSIVA;6
Feb 1 2016;RESTOS HUMANOS;9
Feb 1 2016;ABORTO;14
Feb 1 2016;DESLIZAMIENTO;14
Feb 1 2016;INCIDENTE RESCATE ACUÁTICO;24
Feb 1 2016;ELECTROCUCIÓN / RESCATE;27
Feb 1 2016;INCENDIO CON MATPEL;48
Feb 1 2016;AMENAZA DE RUINA;80
Feb 1 2016;VEHÍCULO RECUPERADO;82
Feb 1 2016;QUEMADURAS;93
Feb 1 2016;HALLAZGO DE EXPLOSIVOS;102
Feb 1 2016;MENOR EN ESTABLECIMIENTO MAYORES;119
Feb 1 2016;EXPLOSIÓN;139
Feb 1 2016;FUGA DE PRESOS;139
Feb 1 2017;ABORTO;1
Feb 1 2017;RESCATES MONTAÑA;1
Feb 1 2017;ACCIÓN SUBVERSIVA;3
Feb 1 2017;DESLIZAMIENTO;6
