FECHA;INCIDENTE;CANT_INCIDENTES
Jul 1 2016;INCENDIO CON MATPEL;24
Jul 1 2016;INCIDENTE RESCATE ACUÁTICO;29
Jul 1 2016;DESLIZAMIENTO;37
Jul 1 2016;AMENAZA DE RUINA;50
Jul 1 2016;QUEMADURAS;66
Jul 1 2016;SANGRADO VAGINAL;73
Jul 1 2016;EXPLOSIÓN;91
Jul 1 2016;VEHÍCULO RECUPERADO;92
Jul 1 2016;FUGA DE PRESOS;118
Jul 1 2016;HALLAZGO DE EXPLOSIVOS;123
Jul 1 2016;MENOR EN ESTABLECIMIENTO MAYORES;179
Jul 1 2017;ACCIDENTE DE AVIACIÓN;1
Jul 1 2017;ACCIÓN SUBVERSIVA;1
Jul 1 2017;INCENDIO EN AERONAVE;1
Jul 1 2017;ABORTO;2
Jul 1 2017;RESCATES MONTAÑA;3
Jul 1 2017;DESLIZAMIENTO;7
Jul 1 2017;ELECTROCUCIÓN / RESCATE;13
Jul 1 2017;INCIDENTE RESCATE ACUÁTICO;15
Jul 1 2017;RESTOS HUMANOS;16
Jul 1 2017;AMENAZA DE RUINA;33
Jul 1 2017;INCENDIO CON MATPEL;38
Jul 1 2017;QUEMADURAS;61
Jul 1 2017;SANGRADO VAGINAL;62
Jul 1 2017;EXPLOSIÓN;79
Jul 1 2017;MENOR EN ESTABLECIMIENTO MAYORES;109
Jul 1 2017;VEHÍCULO RECUPERADO;118
Jul 1 2017;FUGA DE PRESOS;128
Jul 1 2017;HALLAZGO DE EXPLOSIVOS;264
Jul 1 2018;ACCIÓN SUBVERSIVA;3
Jul 1 2018;RESCATES MONTAÑA;3
Jul 1 2018;SISMO;4
Jul 1 2018;DESLIZAMIENTO;6
Jul 1 2018;INCENDIO CON MATPEL;12
Jul 1 2018;RESTOS HUMANOS;12
Jul 1 2018;INCIDENTE RESCATE ACUÁTICO;20
Jul 1 2018;QUEMADURAS;39
Jul 1 2018;EXPLOSIÓN;54
Jul 1 2018;SANGRADO VAGINAL;54
Jul 1 2018;ELECTROCUCIÓN / RESCATE;57
Jul 1 2018;AMENAZA DE RUINA;63
Jul 1 2018;HALLAZGO DE EXPLOSIVOS;89
Jul 1 2018;MENOR EN ESTABLECIMIENTO MAYORES;111
Jul 1 2018;VEHÍCULO RECUPERADO;119
Jul 1 2018;FUGA DE PRESOS;130
Jul 1 2019;DESARME;1
Jul 1 2019;PREVENCIÓN;1
Jul 1 2019;ABORTO;4
Jul 1 2019;RESTOS HUMANOS;10
Jul 1 2019;ELECTROCUCIÓN / RESCATE;11
Jul 1 2019;INCIDENTE RESCATE ACUÁTICO;12
Jul 1 2019;RESCATES MONTAÑA;16
Jul 1 2019;DESLIZAMIENTO;19
Jul 1 2019;INCENDIO CON MATPEL;22
Jul 1 2019;QUEMADURAS;41
Jul 1 2019;EXPLOSIÓN;51
Jul 1 2019;SANGRADO VAGINAL;61
Jul 1 2019;AMENAZA DE RUINA;64
Jul 1 2019;MENOR EN ESTABLECIMIENTO MAYORES;80
Jul 1 2019;VEHÍCULO RECUPERADO;91
Jul 1 2019;HALLAZGO DE EXPLOSIVOS;95
Jul 1 2019;FUGA DE PRESOS;103
Jun 1 2014;DESARME;1
Jun 1 2014;RESCATES MONTAÑA;3
Jun 1 2014;ACCIÓN SUBVERSIVA;5
Jun 1 2014;ABORTO;6
Jun 1 2014;INCENDIO CON MATPEL;9
Jun 1 2014;RESTOS HUMANOS;15
Jun 1 2014;INCIDENTE RESCATE ACUÁTICO;22
Jun 1 2014;ELECTROCUCIÓN / RESCATE;42
Jun 1 2014;DESLIZAMIENTO;43
Jun 1 2014;AMENAZA DE RUINA;49
Jun 1 2014;QUEMADURAS;61
Jun 1 2014;VEHÍCULO RECUPERADO;75
Jun 1 2014;FUGA DE PRESOS;90
Jun 1 2014;EXPLOSIÓN;93
Jun 1 2014;HALLAZGO DE EXPLOSIVOS;115
Jun 1 2014;MENOR EN ESTABLECIMIENTO MAYORES;152
Jun 1 2015;PREVENCIÓN;2
Jun 1 2015;RESTOS HUMANOS;10
Jun 1 2015;ELECTROCUCIÓN / RESCATE;15
Jun 1 2015;RESCATES MONTAÑA;15
Jun 1 2015;ABORTO;17
Jun 1 2015;INCENDIO CON MATPEL;17
Jun 1 2015;INCIDENTE RESCATE ACUÁTICO;23
Jun 1 2015;DESLIZAMIENTO;31
Jun 1 2015;AMENAZA DE RUINA;66
Jun 1 2015;QUEMADURAS;80
Jun 1 2015;VEHÍCULO RECUPERADO;81
Jun 1 2015;EXPLOSIÓN;82
Jun 1 2015;FUGA DE PRESOS;105
Jun 1 2015;HALLAZGO DE EXPLOSIVOS;130
Jun 1 2015;MENOR EN ESTABLECIMIENTO MAYORES;146
Jun 1 2016;ACCIÓN SUBVERSIVA;1
Jun 1 2016;RESCATES MONTAÑA;3
Jun 1 2016;DESLIZAMIENTO;6
Jun 1 2016;ABORTO;7
Jun 1 2016;PREVENCIÓN;9
Jun 1 2016;RESTOS HUMANOS;11
Jun 1 2016;INCIDENTE RESCATE ACUÁTICO;25
Jun 1 2016;ELECTROCUCIÓN / RESCATE;35
Jun 1 2016;INCENDIO CON MATPEL;37
Jun 1 2016;SANGRADO VAGINAL;53
Jun 1 2016;AMENAZA DE RUINA;76
Jun 1 2016;VEHÍCULO RECUPERADO;95
Jun 1 2016;QUEMADURAS;103
Jun 1 2016;EXPLOSIÓN;107
Jun 1 2016;FUGA DE PRESOS;110
Jun 1 2016;HALLAZGO DE EXPLOSIVOS;127
Jun 1 2016;MENOR EN ESTABLECIMIENTO MAYORES;160
Jun 1 2017;SISMO;2
Jun 1 2017;ACCIÓN SUBVERSIVA;3
Jun 1 2017;ABORTO;5
Jun 1 2017;RESTOS HUMANOS;9
Jun 1 2017;RESCATES MONTAÑA;11
Jun 1 2017;INCENDIO CON MATPEL;12
Jun 1 2017;ELECTROCUCIÓN / RESCATE;20
Jun 1 2017;INCIDENTE RESCATE ACUÁTICO;29
Jun 1 2017;SANGRADO VAGINAL;51
Jun 1 2017;AMENAZA DE RUINA;57
Jun 1 2017;DESLIZAMIENTO;58
Jun 1 2017;QUEMADURAS;59
Jun 1 2017;FUGA DE PRESOS;84
Jun 1 2017;VEHÍCULO RECUPERADO;89
Jun 1 2017;EXPLOSIÓN;90
Jun 1 2017;MENOR EN ESTABLECIMIENTO MAYORES;129
Jun 1 2017;HALLAZGO DE EXPLOSIVOS;269
Jun 1 2018;ABORTO;2
Jun 1 2018;SISMO;2
Jun 1 2018;RESCATES MONTAÑA;3
Jun 1 2018;RESTOS HUMANOS;11
Jun 1 2018;DESLIZAMIENTO;13
Jun 1 2018;INCENDIO CON MATPEL;16
Jun 1 2018;ELECTROCUCIÓN / RESCATE;23
Jun 1 2018;INCIDENTE RESCATE ACUÁTICO;29
Jun 1 2018;EXPLOSIÓN;42
Jun 1 2018;QUEMADURAS;51
Jun 1 2018;AMENAZA DE RUINA;57
Jun 1 2018;SANGRADO VAGINAL;64
Jun 1 2018;HALLAZGO DE EXPLOSIVOS;103
Jun 1 2018;MENOR EN ESTABLECIMIENTO MAYORES;108
Jun 1 2018;FUGA DE PRESOS;112
Jun 1 2018;VEHÍCULO RECUPERADO;130
Jun 1 2019;RESCATES MONTAÑA;4
Jun 1 2019;ABORTO;5
Jun 1 2019;RESTOS HUMANOS;9
Jun 1 2019;INCIDENTE RESCATE ACUÁTICO;12
Jun 1 2019;INCENDIO CON MATPEL;21
Jun 1 2019;ELECTROCUCIÓN / RESCATE;23
Jun 1 2019;DESLIZAMIENTO;30
Jun 1 2019;EXPLOSIÓN;36
Jun 1 2019;QUEMADURAS;41
Jun 1 2019;HALLAZGO DE EXPLOSIVOS;62
Jun 1 2019;AMENAZA DE RUINA;68
Jun 1 2019;SANGRADO VAGINAL;68
Jun 1 2019;FUGA DE PRESOS;94
Jun 1 2019;VEHÍCULO RECUPERADO;97
Jun 1 2019;MENOR EN ESTABLECIMIENTO MAYORES;121
Mar 1 2014;DESARME;1
Mar 1 2014;PREVENCIÓN;1
Mar 1 2014;ACCIÓN SUBVERSIVA;5
Mar 1 2014;RESCATES MONTAÑA;5
Mar 1 2014;ABORTO;7
Mar 1 2014;RESTOS HUMANOS;7
Mar 1 2014;INCENDIO CON MATPEL;16
Mar 1 2014;ELECTROCUCIÓN / RESCATE;23
Mar 1 2014;DESLIZAMIENTO;31
Mar 1 2014;INCIDENTE RESCATE ACUÁTICO;35
Mar 1 2014;AMENAZA DE RUINA;53
Mar 1 2014;QUEMADURAS;70
Mar 1 2014;VEHÍCULO RECUPERADO;87
Mar 1 2014;EXPLOSIÓN;100
Mar 1 2014;FUGA DE PRESOS;135
Mar 1 2014;HALLAZGO DE EXPLOSIVOS;136
Mar 1 2014;MENOR EN ESTABLECIMIENTO MAYORES;150
Mar 1 2015;DESARME;1
Mar 1 2015;SANGRADO VAGINAL;1
Mar 1 2015;PREVENCIÓN;2
Mar 1 2015;ACCIÓN SUBVERSIVA;3
Mar 1 2015;RESCATES MONTAÑA;3
Mar 1 2015;RESTOS HUMANOS;7
Mar 1 2015;ABORTO;13
Mar 1 2015;INCENDIO CON MATPEL;29
Mar 1 2015;SISMO;34
Mar 1 2015;DESLIZAMIENTO;43
Mar 1 2015;INCIDENTE RESCATE ACUÁTICO;44
Mar 1 2015;ELECTROCUCIÓN / RESCATE;45
Mar 1 2015;QUEMADURAS;67
Mar 1 2015;VEHÍCULO RECUPERADO;78
Mar 1 2015;FUGA DE PRESOS;103
Mar 1 2015;MENOR EN ESTABLECIMIENTO MAYORES;123
Mar 1 2015;HALLAZGO DE EXPLOSIVOS;205
Mar 1 2015;AMENAZA DE RUINA;211
Mar 1 2015;EXPLOSIÓN;222
Mar 1 2016;ACCIDENTE DE AVIACIÓN;1
Mar 1 2016;PREVENCIÓN;1
Mar 1 2016;SISMO;1
Mar 1 2016;ABORTO;3
Mar 1 2016;ACCIÓN SUBVERSIVA;4
Mar 1 2016;RESTOS HUMANOS;10
Mar 1 2016;ELECTROCUCIÓN / RESCATE;15
Mar 1 2016;INCENDIO CON MATPEL;28
Mar 1 2016;INCIDENTE RESCATE ACUÁTICO;46
Mar 1 2016;DESLIZAMIENTO;53
Mar 1 2016;SANGRADO VAGINAL;76
Mar 1 2016;QUEMADURAS;77
Mar 1 2016;VEHÍCULO RECUPERADO;92
Mar 1 2016;AMENAZA DE RUINA;119
Mar 1 2016;MENOR EN ESTABLECIMIENTO MAYORES;121
Mar 1 2016;EXPLOSIÓN;129
Mar 1 2016;FUGA DE PRESOS;129
Mar 1 2016;HALLAZGO DE EXPLOSIVOS;143
Mar 1 2017;ABORTO;2
Mar 1 2017;INCENDIO CON MATPEL;9
Mar 1 2017;RESTOS HUMANOS;10
Mar 1 2017;RESCATES MONTAÑA;14
Mar 1 2017;INCIDENTE RESCATE ACUÁTICO;26
Mar 1 2017;ELECTROCUCIÓN / RESCATE;31
Mar 1 2017;QUEMADURAS;55
Mar 1 2017;SANGRADO VAGINAL;58
Mar 1 2017;EXPLOSIÓN;74
Mar 1 2017;AMENAZA DE RUINA;94
Mar 1 2017;FUGA DE PRESOS;119
Mar 1 2017;MENOR EN ESTABLECIMIENTO MAYORES;128
Mar 1 2017;DESLIZAMIENTO;131
Mar 1 2017;VEHÍCULO RECUPERADO;148
Mar 1 2017;HALLAZGO DE EXPLOSIVOS;176
Mar 1 2018;ABORTO;4
Mar 1 2018;ACCIÓN SUBVERSIVA;4
Mar 1 2018;RESCATES MONTAÑA;4
Mar 1 2018;RESTOS HUMANOS;6
Mar 1 2018;ELECTROCUCIÓN / RESCATE;19
Mar 1 2018;INCENDIO CON MATPEL;24
Mar 1 2018;DESLIZAMIENTO;34
Mar 1 2018;AMENAZA DE RUINA;55
Mar 1 2018;INCIDENTE RESCATE ACUÁTICO;60
Mar 1 2018;QUEMADURAS;60
Mar 1 2018;SANGRADO VAGINAL;72
Mar 1 2018;EXPLOSIÓN;77
Mar 1 2018;MENOR EN ESTABLECIMIENTO MAYORES;90
Mar 1 2018;FUGA DE PRESOS;110
Mar 1 2018;VEHÍCULO RECUPERADO;116
Mar 1 2018;HALLAZGO DE EXPLOSIVOS;142
Mar 1 2019;RESCATES MONTAÑA;1
Mar 1 2019;ABORTO;2
Mar 1 2019;ACCIÓN SUBVERSIVA;2
Mar 1 2019;DESLIZAMIENTO;14
Mar 1 2019;INCENDIO CON MATPEL;15
Mar 1 2019;RESTOS HUMANOS;21
Mar 1 2019;ELECTROCUCIÓN / RESCATE;24
Mar 1 2019;INCIDENTE RESCATE ACUÁTICO;29
Mar 1 2019;QUEMADURAS;33
Mar 1 2019;EXPLOSIÓN;52
Mar 1 2019;SANGRADO VAGINAL;61
Mar 1 2019;AMENAZA DE RUINA;69
Mar 1 2019;VEHÍCULO RECUPERADO;106
Mar 1 2019;HALLAZGO DE EXPLOSIVOS;108
Mar 1 2019;MENOR EN ESTABLECIMIENTO MAYORES;121
Mar 1 2019;FUGA DE PRESOS;132
May 1 2014;SISMO;1
May 1 2014;ACCIÓN SUBVERSIVA;4
May 1 2014;RESCATES MONTAÑA;5
May 1 2014;DESLIZAMIENTO;7
May 1 2014;ABORTO;8
May 1 2014;RESTOS HUMANOS;9
May 1 2014;ELECTROCUCIÓN / RESCATE;26
May 1 2014;INCENDIO CON MATPEL;29
May 1 2014;AMENAZA DE RUINA;43
May 1 2014;INCIDENTE RESCATE ACUÁTICO;49
May 1 2014;QUEMADURAS;81
May 1 2014;VEHÍCULO RECUPERADO;94
May 1 2014;FUGA DE PRESOS;124
May 1 2014;MENOR EN ESTABLECIMIENTO MAYORES;127
May 1 2014;EXPLOSIÓN;128
May 1 2014;HALLAZGO DE EXPLOSIVOS;150
May 1 2015;RESCATES MONTAÑA;1
May 1 2015;DESLIZAMIENTO;3
May 1 2015;PREVENCIÓN;3
May 1 2015;ACCIÓN SUBVERSIVA;6
May 1 2015;INCIDENTE RESCATE ACUÁTICO;18
May 1 2015;ABORTO;19
May 1 2015;RESTOS HUMANOS;20
May 1 2015;ELECTROCUCIÓN / RESCATE;26
May 1 2015;AMENAZA DE RUINA;49
May 1 2015;INCENDIO CON MATPEL;56
May 1 2015;QUEMADURAS;72
May 1 2015;VEHÍCULO RECUPERADO;79
May 1 2015;EXPLOSIÓN;105
May 1 2015;FUGA DE PRESOS;117
May 1 2015;HALLAZGO DE EXPLOSIVOS;161
May 1 2015;MENOR EN ESTABLECIMIENTO MAYORES;170
May 1 2016;INCENDIO EN AERONAVE;1
May 1 2016;RESCATES MONTAÑA;1
May 1 2016;ACCIÓN SUBVERSIVA;2
May 1 2016;DESARME;2
May 1 2016;SISMO;2
May 1 2016;ABORTO;3
May 1 2016;PREVENCIÓN;6
May 1 2016;INCENDIO CON MATPEL;8
May 1 2016;RESTOS HUMANOS;13
May 1 2016;ELECTROCUCIÓN / RESCATE;21
May 1 2016;INCIDENTE RESCATE ACUÁTICO;22
May 1 2016;DESLIZAMIENTO;25
May 1 2016;AMENAZA DE RUINA;56
May 1 2016;QUEMADURAS;65
May 1 2016;EXPLOSIÓN;73
May 1 2016;SANGRADO VAGINAL;88
May 1 2016;VEHÍCULO RECUPERADO;102
May 1 2016;MENOR EN ESTABLECIMIENTO MAYORES;131
May 1 2016;HALLAZGO DE EXPLOSIVOS;137
May 1 2016;FUGA DE PRESOS;161
May 1 2017;ABORTO;1
May 1 2017;ACCIÓN SUBVERSIVA;1
May 1 2017;RESCATES MONTAÑA;8
May 1 2017;RESTOS HUMANOS;9
May 1 2017;INCENDIO CON MATPEL;17
May 1 2017;ELECTROCUCIÓN / RESCATE;43
May 1 2017;QUEMADURAS;59
May 1 2017;SANGRADO VAGINAL;88
May 1 2017;FUGA DE PRESOS;89
May 1 2017;EXPLOSIÓN;90
May 1 2017;VEHÍCULO RECUPERADO;94
May 1 2017;INCIDENTE RESCATE ACUÁTICO;95
May 1 2017;MENOR EN ESTABLECIMIENTO MAYORES;103
May 1 2017;AMENAZA DE RUINA;135
May 1 2017;HALLAZGO DE EXPLOSIVOS;144
May 1 2017;DESLIZAMIENTO;173
May 1 2018;DESARME;1
May 1 2018;RESCATES MONTAÑA;2
May 1 2018;ABORTO;4
May 1 2018;RESTOS HUMANOS;12
May 1 2018;INCENDIO CON MATPEL;16
May 1 2018;INCIDENTE RESCATE ACUÁTICO;19
May 1 2018;ELECTROCUCIÓN / RESCATE;29
May 1 2018;DESLIZAMIENTO;32
May 1 2018;QUEMADURAS;43
May 1 2018;SANGRADO VAGINAL;50
May 1 2018;AMENAZA DE RUINA;67
May 1 2018;EXPLOSIÓN;69
May 1 2018;VEHÍCULO RECUPERADO;90
May 1 2018;HALLAZGO DE EXPLOSIVOS;100
May 1 2018;MENOR EN ESTABLECIMIENTO MAYORES;100
May 1 2018;FUGA DE PRESOS;163
May 1 2019;RESCATES MONTAÑA;2
May 1 2019;ABORTO;3
May 1 2019;SISMO;3
May 1 2019;RESTOS HUMANOS;9
May 1 2019;INCENDIO CON MATPEL;12
May 1 2019;DESLIZAMIENTO;13
May 1 2019;INCIDENTE RESCATE ACUÁTICO;15
May 1 2019;ELECTROCUCIÓN / RESCATE;37
May 1 2019;QUEMADURAS;41
May 1 2019;AMENAZA DE RUINA;64
May 1 2019;SANGRADO VAGINAL;65
May 1 2019;MENOR EN ESTABLECIMIENTO MAYORES;84
May 1 2019;EXPLOSIÓN;88
May 1 2019;VEHÍCULO RECUPERADO;97
May 1 2019;HALLAZGO DE EXPLOSIVOS;132
May 1 2019;FUGA DE PRESOS;133
Nov 1 2014;SISMO;2
Nov 1 2014;ACCIÓN SUBVERSIVA;3
Nov 1 2014;DESARME;4
Nov 1 2014;RESCATES MONTAÑA;5
Nov 1 2014;SANGRADO VAGINAL;5
Nov 1 2014;PREVENCIÓN;8
Nov 1 2014;ABORTO;13
Nov 1 2014;RESTOS HUMANOS;22
Nov 1 2014;ELECTROCUCIÓN / RESCATE;41
Nov 1 2014;INCENDIO CON MATPEL;41
Nov 1 2014;DESLIZAMIENTO;58
Nov 1 2014;INCIDENTE RESCATE ACUÁTICO;66
Nov 1 2014;AMENAZA DE RUINA;72
Nov 1 2014;VEHÍCULO RECUPERADO;98
Nov 1 2014;QUEMADURAS;103
Nov 1 2014;EXPLOSIÓN;128
Nov 1 2014;MENOR EN ESTABLECIMIENTO MAYORES;146
Nov 1 2014;HALLAZGO DE EXPLOSIVOS;158
Nov 1 2014;FUGA DE PRESOS;166
Nov 1 2015;RESCATES MONTAÑA;2
Nov 1 2015;SISMO;2
Nov 1 2015;ACCIÓN SUBVERSIVA;3
Nov 1 2015;PREVENCIÓN;6
Nov 1 2015;SANGRADO VAGINAL;7
Nov 1 2015;ABORTO;11
Nov 1 2015;RESTOS HUMANOS;11
Nov 1 2015;ELECTROCUCIÓN / RESCATE;25
Nov 1 2015;INCENDIO CON MATPEL;33
Nov 1 2015;DESLIZAMIENTO;44
Nov 1 2015;AMENAZA DE RUINA;53
Nov 1 2015;QUEMADURAS;74
Nov 1 2015;INCIDENTE RESCATE ACUÁTICO;87
Nov 1 2015;VEHÍCULO RECUPERADO;96
Nov 1 2015;EXPLOSIÓN;122
Nov 1 2015;FUGA DE PRESOS;125
Nov 1 2015;MENOR EN ESTABLECIMIENTO MAYORES;138
Nov 1 2015;HALLAZGO DE EXPLOSIVOS;156
Nov 1 2016;ACCIÓN SUBVERSIVA;1
Nov 1 2016;DESARME;2
Nov 1 2016;PREVENCIÓN;4
Nov 1 2016;RESCATES MONTAÑA;4
Nov 1 2016;ABORTO;7
Nov 1 2016;RESTOS HUMANOS;20
Nov 1 2016;SANGRADO VAGINAL;39
Nov 1 2016;ELECTROCUCIÓN / RESCATE;50
Nov 1 2016;INCENDIO CON MATPEL;64
Nov 1 2016;AMENAZA DE RUINA;80
Nov 1 2016;EXPLOSIÓN;88
Nov 1 2016;QUEMADURAS;92
Nov 1 2016;DESLIZAMIENTO;96
Nov 1 2016;VEHÍCULO RECUPERADO;96
Nov 1 2016;MENOR EN ESTABLECIMIENTO MAYORES;114
Nov 1 2016;FUGA DE PRESOS;118
Nov 1 2016;HALLAZGO DE EXPLOSIVOS;119
Nov 1 2016;INCIDENTE RESCATE ACUÁTICO;136
Nov 1 2017;SISMO;1
Nov 1 2017;ABORTO;4
Nov 1 2017;RESCATES MONTAÑA;5
Nov 1 2017;RESTOS HUMANOS;12
Nov 1 2017;INCENDIO CON MATPEL;27
Nov 1 2017;DESLIZAMIENTO;31
Nov 1 2017;ELECTROCUCIÓN / RESCATE;33
Nov 1 2017;INCIDENTE RESCATE ACUÁTICO;49
Nov 1 2017;QUEMADURAS;52
Nov 1 2017;SANGRADO VAGINAL;66
Nov 1 2017;EXPLOSIÓN;79
Nov 1 2017;MENOR EN ESTABLECIMIENTO MAYORES;95
Nov 1 2017;VEHÍCULO RECUPERADO;106
Nov 1 2017;HALLAZGO DE EXPLOSIVOS;122
Nov 1 2017;AMENAZA DE RUINA;126
Nov 1 2017;FUGA DE PRESOS;152
Nov 1 2018;ACCIÓN SUBVERSIVA;3
Nov 1 2018;RESCATES MONTAÑA;5
Nov 1 2018;RESTOS HUMANOS;12
Nov 1 2018;DESLIZAMIENTO;15
Nov 1 2018;ELECTROCUCIÓN / RESCATE;17
Nov 1 2018;INCENDIO CON MATPEL;20
Nov 1 2018;AMENAZA DE RUINA;55
Nov 1 2018;INCIDENTE RESCATE ACUÁTICO;57
Nov 1 2018;QUEMADURAS;70
Nov 1 2018;EXPLOSIÓN;71
Nov 1 2018;SANGRADO VAGINAL;72
Nov 1 2018;HALLAZGO DE EXPLOSIVOS;107
Nov 1 2018;MENOR EN ESTABLECIMIENTO MAYORES;115
Nov 1 2018;VEHÍCULO RECUPERADO;121
Nov 1 2018;FUGA DE PRESOS;147
Oct 1 2014;ACCIDENTE DE AVIACIÓN;1
Oct 1 2014;DESARME;1
Oct 1 2014;SISMO;1
Oct 1 2014;RESCATES MONTAÑA;2
Oct 1 2014;ACCIÓN SUBVERSIVA;5
Oct 1 2014;ABORTO;6
Oct 1 2014;DESLIZAMIENTO;17
Oct 1 2014;RESTOS HUMANOS;20
Oct 1 2014;ELECTROCUCIÓN / RESCATE;39
Oct 1 2014;INCIDENTE RESCATE ACUÁTICO;43
Oct 1 2014;INCENDIO CON MATPEL;50
Oct 1 2014;AMENAZA DE RUINA;51
Oct 1 2014;FUGA DE PRESOS;77
Oct 1 2014;VEHÍCULO RECUPERADO;84
Oct 1 2014;QUEMADURAS;99
Oct 1 2014;EXPLOSIÓN;123
Oct 1 2014;MENOR EN ESTABLECIMIENTO MAYORES;136
Oct 1 2014;HALLAZGO DE EXPLOSIVOS;163
Oct 1 2015;SISMO;1
Oct 1 2015;ACCIÓN SUBVERSIVA;2
Oct 1 2015;PREVENCIÓN;6
Oct 1 2015;ACCIDENTE DE AVIACIÓN;10
Oct 1 2015;DESLIZAMIENTO;11
Oct 1 2015;RESCATES MONTAÑA;11
Oct 1 2015;ABORTO;14
Oct 1 2015;RESTOS HUMANOS;14
Oct 1 2015;ELECTROCUCIÓN / RESCATE;29
Oct 1 2015;INCENDIO CON MATPEL;30
Oct 1 2015;AMENAZA DE RUINA;38
Oct 1 2015;INCIDENTE RESCATE ACUÁTICO;75
Oct 1 2015;VEHÍCULO RECUPERADO;79
Oct 1 2015;QUEMADURAS;86
Oct 1 2015;FUGA DE PRESOS;113
Oct 1 2015;MENOR EN ESTABLECIMIENTO MAYORES;117
Oct 1 2015;EXPLOSIÓN;128
Oct 1 2015;HALLAZGO DE EXPLOSIVOS;140
Oct 1 2016;ACCIÓN SUBVERSIVA;3
Oct 1 2016;ACCIDENTE DE AVIACIÓN;4
Oct 1 2016;PREVENCIÓN;4
Oct 1 2016;ABORTO;5
Oct 1 2016;RESCATES MONTAÑA;6
Oct 1 2016;RESTOS HUMANOS;9
Oct 1 2016;DESLIZAMIENTO;16
Oct 1 2016;SISMO;19
Oct 1 2016;ELECTROCUCIÓN / RESCATE;36
Oct 1 2016;INCENDIO CON MATPEL;38
Oct 1 2016;AMENAZA DE RUINA;56
Oct 1 2016;INCIDENTE RESCATE ACUÁTICO;57
Oct 1 2016;SANGRADO VAGINAL;80
Oct 1 2016;QUEMADURAS;101
Oct 1 2016;VEHÍCULO RECUPERADO;109
Oct 1 2016;EXPLOSIÓN;117
Oct 1 2016;HALLAZGO DE EXPLOSIVOS;134
Oct 1 2016;MENOR EN ESTABLECIMIENTO MAYORES;144
Oct 1 2016;FUGA DE PRESOS;155
Oct 1 2017;ACCIÓN SUBVERSIVA;1
Oct 1 2017;DESARME;1
Oct 1 2017;RESCATES MONTAÑA;1
Oct 1 2017;ABORTO;6
Oct 1 2017;RESTOS HUMANOS;11
Oct 1 2017;INCIDENTE RESCATE ACUÁTICO;12
Oct 1 2017;INCENDIO CON MATPEL;17
Oct 1 2017;DESLIZAMIENTO;20
Oct 1 2017;ELECTROCUCIÓN / RESCATE;31
Oct 1 2017;SANGRADO VAGINAL;45
Oct 1 2017;AMENAZA DE RUINA;51
Oct 1 2017;QUEMADURAS;56
Oct 1 2017;EXPLOSIÓN;74
Oct 1 2017;HALLAZGO DE EXPLOSIVOS;109
Oct 1 2017;MENOR EN ESTABLECIMIENTO MAYORES;112
Oct 1 2017;FUGA DE PRESOS;124
Oct 1 2017;VEHÍCULO RECUPERADO;139
Oct 1 2018;ABORTO;1
Oct 1 2018;ACCIÓN SUBVERSIVA;1
Oct 1 2018;DESARME;1
Oct 1 2018;RESCATES MONTAÑA;2
Oct 1 2018;INCENDIO CON MATPEL;12
Oct 1 2018;RESTOS HUMANOS;12
Oct 1 2018;ELECTROCUCIÓN / RESCATE;25
Oct 1 2018;DESLIZAMIENTO;28
Oct 1 2018;EXPLOSIÓN;31
Oct 1 2018;INCIDENTE RESCATE ACUÁTICO;37
Oct 1 2018;QUEMADURAS;40
Oct 1 2018;AMENAZA DE RUINA;55
Oct 1 2018;SANGRADO VAGINAL;72
Oct 1 2018;MENOR EN ESTABLECIMIENTO MAYORES;85
Oct 1 2018;HALLAZGO DE EXPLOSIVOS;99
Oct 1 2018;VEHÍCULO RECUPERADO;100
Oct 1 2018;FUGA DE PRESOS;159
Sep 1 2014;SISMO;1
Sep 1 2014;DESARME;3
Sep 1 2014;DESLIZAMIENTO;3
Sep 1 2014;RESCATES MONTAÑA;3
Sep 1 2014;ACCIÓN SUBVERSIVA;5
Sep 1 2014;ABORTO;6
Sep 1 2014;INCENDIO CON MATPEL;11
Sep 1 2014;INCIDENTE RESCATE ACUÁTICO;12
Sep 1 2014;RESTOS HUMANOS;13
Sep 1 2014;ELECTROCUCIÓN / RESCATE;27
Sep 1 2014;AMENAZA DE RUINA;35
Sep 1 2014;QUEMADURAS;75
Sep 1 2014;VEHÍCULO RECUPERADO;79
Sep 1 2014;EXPLOSIÓN;105
Sep 1 2014;FUGA DE PRESOS;110
Sep 1 2014;MENOR EN ESTABLECIMIENTO MAYORES;113
Sep 1 2014;HALLAZGO DE EXPLOSIVOS;137
Sep 1 2015;ACCIDENTE DE AVIACIÓN;1
Sep 1 2015;ACCIÓN SUBVERSIVA;2
Sep 1 2015;SISMO;2
Sep 1 2015;DESLIZAMIENTO;3
Sep 1 2015;RESCATES MONTAÑA;3
Sep 1 2015;INCENDIO EN AERONAVE;4
Sep 1 2015;PREVENCIÓN;4
Sep 1 2015;ABORTO;12
Sep 1 2015;INCIDENTE RESCATE ACUÁTICO;12
Sep 1 2015;RESTOS HUMANOS;12
Sep 1 2015;ELECTROCUCIÓN / RESCATE;38
Sep 1 2015;AMENAZA DE RUINA;51
Sep 1 2015;INCENDIO CON MATPEL;51
Sep 1 2015;VEHÍCULO RECUPERADO;96
Sep 1 2015;QUEMADURAS;99
Sep 1 2015;FUGA DE PRESOS;120
