FECHA,LOCALIDAD,CANT_INCIDENTES
Aug 1 2014,RAFAEL URIBE URIBE,12544
Aug 1 2014,SAN CRISTOBAL,11901
Aug 1 2014,SANTA FE,7596
Aug 1 2014,SIN LOCALIZACION,2205
Aug 1 2014,SUBA,29382
Aug 1 2014,TEUSAQUILLO,8061
Aug 1 2014,TUNJUELITO,6767
Aug 1 2014,USAQUEN,17005
Aug 1 2014,USME,8589
Aug 1 2015,ANTONIO NARINO,5685
Aug 1 2015,BARRIOS UNIDOS,9184
Aug 1 2015,BOSA,19053
Aug 1 2015,CANDELARIA,2008
Aug 1 2015,CHAPINERO,13273
Aug 1 2015,CIUDAD BOLIVAR,19287
Aug 1 2015,ENGATIVA,30826
Aug 1 2015,FONTIBON,13301
Aug 1 2015,KENNEDY,36405
Aug 1 2015,LOS MARTIRES,7943
Aug 1 2015,PUENTE ARANDA,13688
Aug 1 2015,RAFAEL URIBE URIBE,14133
Aug 1 2015,SAN CRISTOBAL,13925
Aug 1 2015,SANTA FE,9848
Aug 1 2015,SIN LOCALIZACION,790
Aug 1 2015,SUBA,35174
Aug 1 2015,TEUSAQUILLO,10438
Aug 1 2015,TUNJUELITO,8008
Aug 1 2015,USAQUEN,20650
Aug 1 2015,USME,9919
Aug 1 2016,ANTONIO NARINO,4635
Aug 1 2016,BARRIOS UNIDOS,8781
Aug 1 2016,BOSA,15013
Aug 1 2016,CANDELARIA,1765
Aug 1 2016,CHAPINERO,12691
Aug 1 2016,CIUDAD BOLIVAR,13228
Aug 1 2016,ENGATIVA,25115
Aug 1 2016,FONTIBON,11087
Aug 1 2016,KENNEDY,28585
Aug 1 2016,LOS MARTIRES,7891
Aug 1 2016,PUENTE ARANDA,10801
Aug 1 2016,RAFAEL URIBE URIBE,10624
Aug 1 2016,SAN CRISTOBAL,10671
Aug 1 2016,SANTA FE,8648
Aug 1 2016,SIN LOCALIZACION,59773
Aug 1 2016,SUBA,31372
Aug 1 2016,TEUSAQUILLO,9200
Aug 1 2016,TUNJUELITO,6153
Aug 1 2016,USAQUEN,17538
Aug 1 2016,USME,6308
Aug 1 2017,ANTONIO NARINO,5159
Aug 1 2017,BARRIOS UNIDOS,8922
Aug 1 2017,BOSA,18310
Aug 1 2017,CANDELARIA,1917
Aug 1 2017,CHAPINERO,11782
Aug 1 2017,CIUDAD BOLIVAR,18778
Aug 1 2017,ENGATIVA,28239
Aug 1 2017,FONTIBON,12192
Aug 1 2017,KENNEDY,33431
Aug 1 2017,LOS MARTIRES,7583
Aug 1 2017,PUENTE ARANDA,11371
Aug 1 2017,RAFAEL URIBE URIBE,12994
Aug 1 2017,SAN CRISTOBAL,12311
Aug 1 2017,SANTA FE,7875
Aug 1 2017,SIN LOCALIZACION,555
Aug 1 2017,SUBA,34560
Aug 1 2017,TEUSAQUILLO,9600
Aug 1 2017,TUNJUELITO,6409
Aug 1 2017,USAQUEN,19701
Aug 1 2017,USME,8528
