FECHA,LOCALIDAD,CANT_INCIDENTES
Jul 1 2017,SIN LOCALIZACION,694
Jul 1 2017,SUBA,33738
Jul 1 2017,TEUSAQUILLO,8959
Jul 1 2017,TUNJUELITO,6440
Jul 1 2017,USAQUEN,18940
Jul 1 2017,USME,7756
Jul 1 2018,ANTONIO NARINO,4548
Jul 1 2018,BARRIOS UNIDOS,7690
Jul 1 2018,BOSA,17429
Jul 1 2018,CANDELARIA,1499
Jul 1 2018,CHAPINERO,9554
Jul 1 2018,CIUDAD BOLIVAR,17435
Jul 1 2018,ENGATIVA,25042
Jul 1 2018,FONTIBON,11342
Jul 1 2018,KENNEDY,32080
Jul 1 2018,LOS MARTIRES,5585
Jul 1 2018,PUENTE ARANDA,10110
Jul 1 2018,RAFAEL URIBE URIBE,12601
Jul 1 2018,SAN CRISTOBAL,11035
Jul 1 2018,SANTA FE,6525
Jul 1 2018,SIN LOCALIZACION,507
Jul 1 2018,SUBA,32256
Jul 1 2018,TEUSAQUILLO,7306
Jul 1 2018,TUNJUELITO,6154
Jul 1 2018,USAQUEN,17955
Jul 1 2018,USME,7178
Jul 1 2019,ANTONIO NARINO,4156
Jul 1 2019,BARRIOS UNIDOS,7709
Jul 1 2019,BOSA,15789
Jul 1 2019,CANDELARIA,1405
Jul 1 2019,CHAPINERO,9660
Jul 1 2019,CIUDAD BOLIVAR,15093
Jul 1 2019,ENGATIVA,22720
Jul 1 2019,FONTIBON,10927
Jul 1 2019,KENNEDY,27822
Jul 1 2019,LOS MARTIRES,5775
Jul 1 2019,PUENTE ARANDA,9820
Jul 1 2019,RAFAEL URIBE URIBE,10684
Jul 1 2019,SAN CRISTOBAL,11354
Jul 1 2019,SANTA FE,5847
Jul 1 2019,SIN LOCALIZACION,1867
Jul 1 2019,SUBA,28540
Jul 1 2019,TEUSAQUILLO,7085
Jul 1 2019,TUNJUELITO,5195
Jul 1 2019,USAQUEN,15790
Jul 1 2019,USME,6469
Jun 1 2014,ANTONIO NARINO,4291
Jun 1 2014,BARRIOS UNIDOS,7339
Jun 1 2014,BOSA,16552
Jun 1 2014,CANDELARIA,1518
Jun 1 2014,CHAPINERO,10505
Jun 1 2014,CIUDAD BOLIVAR,16478
Jun 1 2014,ENGATIVA,25236
Jun 1 2014,FONTIBON,11293
Jun 1 2014,KENNEDY,29550
Jun 1 2014,LOS MARTIRES,6486
Jun 1 2014,PUENTE ARANDA,10884
Jun 1 2014,RAFAEL URIBE URIBE,13409
Jun 1 2014,SAN CRISTOBAL,12046
Jun 1 2014,SANTA FE,7098
Jun 1 2014,SIN LOCALIZACION,2085
Jun 1 2014,SUBA,28362
Jun 1 2014,TEUSAQUILLO,7346
Jun 1 2014,TUNJUELITO,6946
Jun 1 2014,USAQUEN,15499
Jun 1 2014,USME,8888
Jun 1 2015,ANTONIO NARINO,4998
Jun 1 2015,BARRIOS UNIDOS,8657
Jun 1 2015,BOSA,18066
Jun 1 2015,CANDELARIA,1623
Jun 1 2015,CHAPINERO,11481
Jun 1 2015,CIUDAD BOLIVAR,17039
Jun 1 2015,ENGATIVA,27239
Jun 1 2015,FONTIBON,12252
Jun 1 2015,KENNEDY,31276
Jun 1 2015,LOS MARTIRES,6630
Jun 1 2015,PUENTE ARANDA,11592
Jun 1 2015,RAFAEL URIBE URIBE,12555
Jun 1 2015,SAN CRISTOBAL,12932
Jun 1 2015,SANTA FE,7925
Jun 1 2015,SIN LOCALIZACION,974
Jun 1 2015,SUBA,30737
Jun 1 2015,TEUSAQUILLO,8543
Jun 1 2015,TUNJUELITO,6966
Jun 1 2015,USAQUEN,17705
Jun 1 2015,USME,9022
Jun 1 2016,ANTONIO NARINO,5459
Jun 1 2016,BARRIOS UNIDOS,9873
Jun 1 2016,BOSA,17060
Jun 1 2016,CANDELARIA,1779
Jun 1 2016,CHAPINERO,13895
Jun 1 2016,CIUDAD BOLIVAR,17661
Jun 1 2016,ENGATIVA,29387
Jun 1 2016,FONTIBON,13318
Jun 1 2016,KENNEDY,34301
Jun 1 2016,LOS MARTIRES,9473
Jun 1 2016,PUENTE ARANDA,12105
Jun 1 2016,RAFAEL URIBE URIBE,14338
Jun 1 2016,SAN CRISTOBAL,13170
Jun 1 2016,SANTA FE,9429
Jun 1 2016,SIN LOCALIZACION,846
Jun 1 2016,SUBA,34449
Jun 1 2016,TEUSAQUILLO,10475
Jun 1 2016,TUNJUELITO,7160
Jun 1 2016,USAQUEN,21265
Jun 1 2016,USME,8891
Jun 1 2017,ANTONIO NARINO,4681
Jun 1 2017,BARRIOS UNIDOS,8375
Jun 1 2017,BOSA,17203
Jun 1 2017,CANDELARIA,1736
Jun 1 2017,CHAPINERO,11493
Jun 1 2017,CIUDAD BOLIVAR,18285
Jun 1 2017,ENGATIVA,26098
Jun 1 2017,FONTIBON,11928
Jun 1 2017,KENNEDY,32262
Jun 1 2017,LOS MARTIRES,7111
Jun 1 2017,PUENTE ARANDA,11538
Jun 1 2017,RAFAEL URIBE URIBE,12138
Jun 1 2017,SAN CRISTOBAL,11817
Jun 1 2017,SANTA FE,7149
Jun 1 2017,SIN LOCALIZACION,633
Jun 1 2017,SUBA,33173
Jun 1 2017,TEUSAQUILLO,8684
Jun 1 2017,TUNJUELITO,5866
Jun 1 2017,USAQUEN,19295
Jun 1 2017,USME,8107
Jun 1 2018,ANTONIO NARINO,4108
Jun 1 2018,BARRIOS UNIDOS,7607
Jun 1 2018,BOSA,16367
Jun 1 2018,CANDELARIA,1412
Jun 1 2018,CHAPINERO,9595
Jun 1 2018,CIUDAD BOLIVAR,17328
Jun 1 2018,ENGATIVA,24232
Jun 1 2018,FONTIBON,10824
Jun 1 2018,KENNEDY,29255
Jun 1 2018,LOS MARTIRES,5779
Jun 1 2018,PUENTE ARANDA,10267
Jun 1 2018,RAFAEL URIBE URIBE,11490
Jun 1 2018,SAN CRISTOBAL,11132
Jun 1 2018,SANTA FE,6209
Jun 1 2018,SIN LOCALIZACION,561
Jun 1 2018,SUBA,32521
Jun 1 2018,TEUSAQUILLO,7643
Jun 1 2018,TUNJUELITO,5831
Jun 1 2018,USAQUEN,17476
Jun 1 2018,USME,7066
Jun 1 2019,ANTONIO NARINO,3934
Jun 1 2019,BARRIOS UNIDOS,7381
Jun 1 2019,BOSA,15640
Jun 1 2019,CANDELARIA,1317
Jun 1 2019,CHAPINERO,9592
Jun 1 2019,CIUDAD BOLIVAR,15014
Jun 1 2019,ENGATIVA,23683
Jun 1 2019,FONTIBON,10050
Jun 1 2019,KENNEDY,27943
Jun 1 2019,LOS MARTIRES,5620
Jun 1 2019,PUENTE ARANDA,9331
Jun 1 2019,RAFAEL URIBE URIBE,11084
Jun 1 2019,SAN CRISTOBAL,10945
Jun 1 2019,SANTA FE,5719
Jun 1 2019,SIN LOCALIZACION,1715
Jun 1 2019,SUBA,29666
Jun 1 2019,TEUSAQUILLO,6888
Jun 1 2019,TUNJUELITO,5363
Jun 1 2019,USAQUEN,15568
Jun 1 2019,USME,6483
Mar 1 2014,ANTONIO NARINO,4450
Mar 1 2014,BARRIOS UNIDOS,8789
Mar 1 2014,BOSA,17163
Mar 1 2014,CANDELARIA,1782
Mar 1 2014,CHAPINERO,13979
Mar 1 2014,CIUDAD BOLIVAR,16480
Mar 1 2014,ENGATIVA,28835
Mar 1 2014,FONTIBON,12454
Mar 1 2014,KENNEDY,32025
Mar 1 2014,LOS MARTIRES,6734
Mar 1 2014,PUENTE ARANDA,11333
Mar 1 2014,RAFAEL URIBE URIBE,13326
Mar 1 2014,SAN CRISTOBAL,12897
Mar 1 2014,SANTA FE,8230
Mar 1 2014,SIN LOCALIZACION,2426
Mar 1 2014,SUBA,31519
Mar 1 2014,TEUSAQUILLO,9050
Mar 1 2014,TUNJUELITO,7012
Mar 1 2014,USAQUEN,19265
Mar 1 2014,USME,10015
Mar 1 2015,ANTONIO NARINO,5344
Mar 1 2015,BARRIOS UNIDOS,9068
Mar 1 2015,BOSA,15993
Mar 1 2015,CANDELARIA,1808
Mar 1 2015,CHAPINERO,13166
Mar 1 2015,CIUDAD BOLIVAR,17253
Mar 1 2015,ENGATIVA,28591
Mar 1 2015,FONTIBON,13150
Mar 1 2015,KENNEDY,32256
Mar 1 2015,LOS MARTIRES,7060
Mar 1 2015,PUENTE ARANDA,12312
Mar 1 2015,RAFAEL URIBE URIBE,13820
Mar 1 2015,SAN CRISTOBAL,13943
Mar 1 2015,SANTA FE,8738
Mar 1 2015,SIN LOCALIZACION,924
Mar 1 2015,SUBA,32295
Mar 1 2015,TEUSAQUILLO,9928
Mar 1 2015,TUNJUELITO,7183
Mar 1 2015,USAQUEN,19500
Mar 1 2015,USME,9317
Mar 1 2016,ANTONIO NARINO,5664
Mar 1 2016,BARRIOS UNIDOS,9961
Mar 1 2016,BOSA,18429
Mar 1 2016,CANDELARIA,2295
Mar 1 2016,CHAPINERO,12866
Mar 1 2016,CIUDAD BOLIVAR,19099
Mar 1 2016,ENGATIVA,30315
Mar 1 2016,FONTIBON,14311
Mar 1 2016,KENNEDY,35568
Mar 1 2016,LOS MARTIRES,7547
Mar 1 2016,PUENTE ARANDA,13129
Mar 1 2016,RAFAEL URIBE URIBE,14694
Mar 1 2016,SAN CRISTOBAL,14696
Mar 1 2016,SANTA FE,9736
Mar 1 2016,SIN LOCALIZACION,786
Mar 1 2016,SUBA,34241
Mar 1 2016,TEUSAQUILLO,11310
Mar 1 2016,TUNJUELITO,7352
Mar 1 2016,USAQUEN,22709
Mar 1 2016,USME,10205
Mar 1 2017,ANTONIO NARINO,5110
Mar 1 2017,BARRIOS UNIDOS,9330
Mar 1 2017,BOSA,18317
Mar 1 2017,CANDELARIA,1811
Mar 1 2017,CHAPINERO,13540
Mar 1 2017,CIUDAD BOLIVAR,18841
Mar 1 2017,ENGATIVA,28556
Mar 1 2017,FONTIBON,13201
Mar 1 2017,KENNEDY,35140
Mar 1 2017,LOS MARTIRES,7012
Mar 1 2017,PUENTE ARANDA,11485
Mar 1 2017,RAFAEL URIBE URIBE,12801
Mar 1 2017,SAN CRISTOBAL,11902
Mar 1 2017,SANTA FE,7767
Mar 1 2017,SIN LOCALIZACION,1357
Mar 1 2017,SUBA,33426
Mar 1 2017,TEUSAQUILLO,10076
Mar 1 2017,TUNJUELITO,6848
Mar 1 2017,USAQUEN,21286
Mar 1 2017,USME,8933
Mar 1 2018,ANTONIO NARINO,4607
Mar 1 2018,BARRIOS UNIDOS,8385
Mar 1 2018,BOSA,18228
Mar 1 2018,CANDELARIA,1693
Mar 1 2018,CHAPINERO,11625
Mar 1 2018,CIUDAD BOLIVAR,18599
Mar 1 2018,ENGATIVA,26651
Mar 1 2018,FONTIBON,11695
Mar 1 2018,KENNEDY,33331
Mar 1 2018,LOS MARTIRES,6264
Mar 1 2018,PUENTE ARANDA,10958
Mar 1 2018,RAFAEL URIBE URIBE,12915
Mar 1 2018,SAN CRISTOBAL,12337
Mar 1 2018,SANTA FE,7208
Mar 1 2018,SIN LOCALIZACION,1046
Mar 1 2018,SUBA,33768
Mar 1 2018,TEUSAQUILLO,9236
Mar 1 2018,TUNJUELITO,6789
Mar 1 2018,USAQUEN,20951
Mar 1 2018,USME,8681
Mar 1 2019,ANTONIO NARINO,4351
Mar 1 2019,BARRIOS UNIDOS,7872
Mar 1 2019,BOSA,17781
Mar 1 2019,CANDELARIA,1598
Mar 1 2019,CHAPINERO,11508
Mar 1 2019,CIUDAD BOLIVAR,17086
Mar 1 2019,ENGATIVA,27054
Mar 1 2019,FONTIBON,11987
Mar 1 2019,KENNEDY,31999
Mar 1 2019,LOS MARTIRES,6127
Mar 1 2019,PUENTE ARANDA,10302
Mar 1 2019,RAFAEL URIBE URIBE,12161
Mar 1 2019,SAN CRISTOBAL,12522
Mar 1 2019,SANTA FE,6613
Mar 1 2019,SIN LOCALIZACION,594
Mar 1 2019,SUBA,33267
Mar 1 2019,TEUSAQUILLO,7664
Mar 1 2019,TUNJUELITO,6071
Mar 1 2019,USAQUEN,18893
Mar 1 2019,USME,7668
May 1 2014,ANTONIO NARINO,4375
May 1 2014,BARRIOS UNIDOS,9040
May 1 2014,BOSA,15134
May 1 2014,CANDELARIA,1547
May 1 2014,CHAPINERO,12612
May 1 2014,CIUDAD BOLIVAR,15833
May 1 2014,ENGATIVA,27383
May 1 2014,FONTIBON,12537
May 1 2014,KENNEDY,29777
May 1 2014,LOS MARTIRES,6506
May 1 2014,PUENTE ARANDA,10743
May 1 2014,RAFAEL URIBE URIBE,12537
May 1 2014,SAN CRISTOBAL,12524
May 1 2014,SANTA FE,7706
May 1 2014,SIN LOCALIZACION,2591
May 1 2014,SUBA,29348
May 1 2014,TEUSAQUILLO,8824
May 1 2014,TUNJUELITO,6520
May 1 2014,USAQUEN,17431
May 1 2014,USME,9172
May 1 2015,ANTONIO NARINO,5491
May 1 2015,BARRIOS UNIDOS,9732
May 1 2015,BOSA,18372
May 1 2015,CANDELARIA,1772
May 1 2015,CHAPINERO,12860
May 1 2015,CIUDAD BOLIVAR,19646
May 1 2015,ENGATIVA,30277
May 1 2015,FONTIBON,14099
May 1 2015,KENNEDY,35598
May 1 2015,LOS MARTIRES,7466
May 1 2015,PUENTE ARANDA,13016
May 1 2015,RAFAEL URIBE URIBE,15312
May 1 2015,SAN CRISTOBAL,14297
May 1 2015,SANTA FE,8911
May 1 2015,SIN LOCALIZACION,978
May 1 2015,SUBA,34542
May 1 2015,TEUSAQUILLO,10036
May 1 2015,TUNJUELITO,8393
May 1 2015,USAQUEN,19467
May 1 2015,USME,10138
May 1 2016,ANTONIO NARINO,5551
May 1 2016,BARRIOS UNIDOS,9664
May 1 2016,BOSA,18739
May 1 2016,CANDELARIA,1927
May 1 2016,CHAPINERO,13992
May 1 2016,CIUDAD BOLIVAR,19358
May 1 2016,ENGATIVA,30704
May 1 2016,FONTIBON,13805
May 1 2016,KENNEDY,36351
May 1 2016,LOS MARTIRES,8106
May 1 2016,PUENTE ARANDA,12471
May 1 2016,RAFAEL URIBE URIBE,14257
May 1 2016,SAN CRISTOBAL,13617
May 1 2016,SANTA FE,8930
May 1 2016,SIN LOCALIZACION,802
May 1 2016,SUBA,37288
May 1 2016,TEUSAQUILLO,10608
May 1 2016,TUNJUELITO,7655
May 1 2016,USAQUEN,21528
May 1 2016,USME,10164
May 1 2017,ANTONIO NARINO,4767
May 1 2017,BARRIOS UNIDOS,9211
May 1 2017,BOSA,18230
May 1 2017,CANDELARIA,1867
May 1 2017,CHAPINERO,13244
May 1 2017,CIUDAD BOLIVAR,18439
May 1 2017,ENGATIVA,26163
May 1 2017,FONTIBON,12048
May 1 2017,KENNEDY,34280
May 1 2017,LOS MARTIRES,7237
May 1 2017,PUENTE ARANDA,12150
May 1 2017,RAFAEL URIBE URIBE,12508
May 1 2017,SAN CRISTOBAL,12350
May 1 2017,SANTA FE,7903
May 1 2017,SIN LOCALIZACION,672
May 1 2017,SUBA,33621
May 1 2017,TEUSAQUILLO,9934
May 1 2017,TUNJUELITO,6918
May 1 2017,USAQUEN,21142
May 1 2017,USME,8917
May 1 2018,ANTONIO NARINO,4754
May 1 2018,BARRIOS UNIDOS,8174
May 1 2018,BOSA,16492
May 1 2018,CANDELARIA,1715
May 1 2018,CHAPINERO,11197
May 1 2018,CIUDAD BOLIVAR,17802
May 1 2018,ENGATIVA,24490
May 1 2018,FONTIBON,11571
May 1 2018,KENNEDY,30429
May 1 2018,LOS MARTIRES,5705
May 1 2018,PUENTE ARANDA,11022
May 1 2018,RAFAEL URIBE URIBE,12214
May 1 2018,SAN CRISTOBAL,11954
May 1 2018,SANTA FE,7258
May 1 2018,SIN LOCALIZACION,584
May 1 2018,SUBA,32681
May 1 2018,TEUSAQUILLO,8700
May 1 2018,TUNJUELITO,6314
May 1 2018,USAQUEN,19565
May 1 2018,USME,7980
May 1 2019,ANTONIO NARINO,4173
May 1 2019,BARRIOS UNIDOS,7769
May 1 2019,BOSA,16423
May 1 2019,CANDELARIA,1443
May 1 2019,CHAPINERO,10756
May 1 2019,CIUDAD BOLIVAR,16337
May 1 2019,ENGATIVA,24819
May 1 2019,FONTIBON,11076
May 1 2019,KENNEDY,29085
May 1 2019,LOS MARTIRES,6089
May 1 2019,PUENTE ARANDA,10107
May 1 2019,RAFAEL URIBE URIBE,11181
May 1 2019,SAN CRISTOBAL,12000
May 1 2019,SANTA FE,6565
May 1 2019,SIN LOCALIZACION,1566
May 1 2019,SUBA,30653
May 1 2019,TEUSAQUILLO,7707
May 1 2019,TUNJUELITO,5364
May 1 2019,USAQUEN,17283
May 1 2019,USME,6947
Nov 1 2014,ANTONIO NARINO,5033
Nov 1 2014,BARRIOS UNIDOS,9246
Nov 1 2014,BOSA,16157
Nov 1 2014,CANDELARIA,1717
Nov 1 2014,CHAPINERO,13238
Nov 1 2014,CIUDAD BOLIVAR,16320
Nov 1 2014,ENGATIVA,30915
Nov 1 2014,FONTIBON,13672
Nov 1 2014,KENNEDY,32437
Nov 1 2014,LOS MARTIRES,7188
Nov 1 2014,PUENTE ARANDA,12747
Nov 1 2014,RAFAEL URIBE URIBE,14038
Nov 1 2014,SAN CRISTOBAL,14138
Nov 1 2014,SANTA FE,8584
Nov 1 2014,SIN LOCALIZACION,2264
Nov 1 2014,SUBA,32680
Nov 1 2014,TEUSAQUILLO,9333
Nov 1 2014,TUNJUELITO,7166
Nov 1 2014,USAQUEN,19305
Nov 1 2014,USME,9997
Nov 1 2015,ANTONIO NARINO,5883
Nov 1 2015,BARRIOS UNIDOS,10898
Nov 1 2015,BOSA,18146
Nov 1 2015,CANDELARIA,1941
Nov 1 2015,CHAPINERO,13838
Nov 1 2015,CIUDAD BOLIVAR,19641
Nov 1 2015,ENGATIVA,30538
Nov 1 2015,FONTIBON,15054
Nov 1 2015,KENNEDY,35734
Nov 1 2015,LOS MARTIRES,7327
Nov 1 2015,PUENTE ARANDA,12968
Nov 1 2015,RAFAEL URIBE URIBE,14066
Nov 1 2015,SAN CRISTOBAL,13998
Nov 1 2015,SANTA FE,8993
Nov 1 2015,SIN LOCALIZACION,1147
Nov 1 2015,SUBA,34399
Nov 1 2015,TEUSAQUILLO,10878
Nov 1 2015,TUNJUELITO,8318
Nov 1 2015,USAQUEN,21595
Nov 1 2015,USME,9692
Nov 1 2016,ANTONIO NARINO,4676
Nov 1 2016,BARRIOS UNIDOS,9485
Nov 1 2016,BOSA,14829
Nov 1 2016,CANDELARIA,1812
Nov 1 2016,CHAPINERO,13728
Nov 1 2016,CIUDAD BOLIVAR,14210
Nov 1 2016,ENGATIVA,24672
Nov 1 2016,FONTIBON,12603
Nov 1 2016,KENNEDY,29858
Nov 1 2016,LOS MARTIRES,7238
Nov 1 2016,PUENTE ARANDA,10883
Nov 1 2016,RAFAEL URIBE URIBE,11663
Nov 1 2016,SAN CRISTOBAL,10229
Nov 1 2016,SANTA FE,8046
Nov 1 2016,SIN LOCALIZACION,53901
Nov 1 2016,SUBA,32918
Nov 1 2016,TEUSAQUILLO,9467
Nov 1 2016,TUNJUELITO,6107
Nov 1 2016,USAQUEN,19539
Nov 1 2016,USME,6346
Nov 1 2017,ANTONIO NARINO,4759
Nov 1 2017,BARRIOS UNIDOS,8913
Nov 1 2017,BOSA,16946
Nov 1 2017,CANDELARIA,1866
Nov 1 2017,CHAPINERO,12735
Nov 1 2017,CIUDAD BOLIVAR,17644
Nov 1 2017,ENGATIVA,25940
Nov 1 2017,FONTIBON,11705
Nov 1 2017,KENNEDY,33826
Nov 1 2017,LOS MARTIRES,7368
Nov 1 2017,PUENTE ARANDA,11505
Nov 1 2017,RAFAEL URIBE URIBE,12069
Nov 1 2017,SAN CRISTOBAL,12207
Nov 1 2017,SANTA FE,7676
Nov 1 2017,SIN LOCALIZACION,719
Nov 1 2017,SUBA,33378
Nov 1 2017,TEUSAQUILLO,9101
Nov 1 2017,TUNJUELITO,6685
Nov 1 2017,USAQUEN,20166
Nov 1 2017,USME,8268
Nov 1 2018,ANTONIO NARINO,4218
Nov 1 2018,BARRIOS UNIDOS,7729
Nov 1 2018,BOSA,16355
Nov 1 2018,CANDELARIA,1509
Nov 1 2018,CHAPINERO,10769
Nov 1 2018,CIUDAD BOLIVAR,16743
Nov 1 2018,ENGATIVA,25435
Nov 1 2018,FONTIBON,11516
Nov 1 2018,KENNEDY,29551
Nov 1 2018,LOS MARTIRES,6283
Nov 1 2018,PUENTE ARANDA,10647
Nov 1 2018,RAFAEL URIBE URIBE,11548
Nov 1 2018,SAN CRISTOBAL,10869
Nov 1 2018,SANTA FE,6700
Nov 1 2018,SIN LOCALIZACION,550
Nov 1 2018,SUBA,31526
Nov 1 2018,TEUSAQUILLO,7680
Nov 1 2018,TUNJUELITO,5892
Nov 1 2018,USAQUEN,17802
Nov 1 2018,USME,7700
Oct 1 2014,ANTONIO NARINO,4800
Oct 1 2014,BARRIOS UNIDOS,9295
Oct 1 2014,BOSA,15710
Oct 1 2014,CANDELARIA,1620
Oct 1 2014,CHAPINERO,13595
Oct 1 2014,CIUDAD BOLIVAR,16081
Oct 1 2014,ENGATIVA,28406
Oct 1 2014,FONTIBON,12387
Oct 1 2014,KENNEDY,30586
Oct 1 2014,LOS MARTIRES,7376
Oct 1 2014,PUENTE ARANDA,12164
Oct 1 2014,RAFAEL URIBE URIBE,12794
Oct 1 2014,SAN CRISTOBAL,12820
Oct 1 2014,SANTA FE,8054
Oct 1 2014,SIN LOCALIZACION,2552
Oct 1 2014,SUBA,30971
Oct 1 2014,TEUSAQUILLO,8966
Oct 1 2014,TUNJUELITO,6913
Oct 1 2014,USAQUEN,19098
Oct 1 2014,USME,9322
Oct 1 2015,ANTONIO NARINO,6787
Oct 1 2015,BARRIOS UNIDOS,10340
Oct 1 2015,BOSA,18059
Oct 1 2015,CANDELARIA,2182
Oct 1 2015,CHAPINERO,14164
Oct 1 2015,CIUDAD BOLIVAR,18471
Oct 1 2015,ENGATIVA,30516
Oct 1 2015,FONTIBON,14452
Oct 1 2015,KENNEDY,36792
Oct 1 2015,LOS MARTIRES,8603
Oct 1 2015,PUENTE ARANDA,14150
Oct 1 2015,RAFAEL URIBE URIBE,13668
Oct 1 2015,SAN CRISTOBAL,14354
Oct 1 2015,SANTA FE,10039
Oct 1 2015,SIN LOCALIZACION,1053
Oct 1 2015,SUBA,34155
Oct 1 2015,TEUSAQUILLO,11057
Oct 1 2015,TUNJUELITO,9094
Oct 1 2015,USAQUEN,21918
Oct 1 2015,USME,10672
Oct 1 2016,ANTONIO NARINO,4621
Oct 1 2016,BARRIOS UNIDOS,9448
Oct 1 2016,BOSA,16100
Oct 1 2016,CANDELARIA,2146
Oct 1 2016,CHAPINERO,14233
Oct 1 2016,CIUDAD BOLIVAR,14839
Oct 1 2016,ENGATIVA,26894
Oct 1 2016,FONTIBON,12827
Oct 1 2016,KENNEDY,31754
Oct 1 2016,LOS MARTIRES,7301
Oct 1 2016,PUENTE ARANDA,11705
Oct 1 2016,RAFAEL URIBE URIBE,11184
Oct 1 2016,SAN CRISTOBAL,10774
Oct 1 2016,SANTA FE,8999
Oct 1 2016,SIN LOCALIZACION,64145
Oct 1 2016,SUBA,33866
Oct 1 2016,TEUSAQUILLO,9216
Oct 1 2016,TUNJUELITO,6549
Oct 1 2016,USAQUEN,19237
Oct 1 2016,USME,6415
Oct 1 2017,ANTONIO NARINO,5048
Oct 1 2017,BARRIOS UNIDOS,8562
Oct 1 2017,BOSA,17793
Oct 1 2017,CANDELARIA,1891
Oct 1 2017,CHAPINERO,12333
Oct 1 2017,CIUDAD BOLIVAR,18530
Oct 1 2017,ENGATIVA,26865
Oct 1 2017,FONTIBON,12041
Oct 1 2017,KENNEDY,35403
Oct 1 2017,LOS MARTIRES,7508
Oct 1 2017,PUENTE ARANDA,12210
Oct 1 2017,RAFAEL URIBE URIBE,12474
Oct 1 2017,SAN CRISTOBAL,12710
Oct 1 2017,SANTA FE,8365
Oct 1 2017,SIN LOCALIZACION,581
Oct 1 2017,SUBA,34490
Oct 1 2017,TEUSAQUILLO,9220
Oct 1 2017,TUNJUELITO,6586
Oct 1 2017,USAQUEN,19960
Oct 1 2017,USME,8326
Oct 1 2018,ANTONIO NARINO,4613
Oct 1 2018,BARRIOS UNIDOS,7725
Oct 1 2018,BOSA,16621
Oct 1 2018,CANDELARIA,1719
Oct 1 2018,CHAPINERO,10546
Oct 1 2018,CIUDAD BOLIVAR,16621
Oct 1 2018,ENGATIVA,25825
Oct 1 2018,FONTIBON,11975
Oct 1 2018,KENNEDY,31007
Oct 1 2018,LOS MARTIRES,6455
Oct 1 2018,PUENTE ARANDA,11286
Oct 1 2018,RAFAEL URIBE URIBE,12051
Oct 1 2018,SAN CRISTOBAL,11402
Oct 1 2018,SANTA FE,6899
Oct 1 2018,SIN LOCALIZACION,685
Oct 1 2018,SUBA,32009
Oct 1 2018,TEUSAQUILLO,8053
Oct 1 2018,TUNJUELITO,5730
Oct 1 2018,USAQUEN,18533
Oct 1 2018,USME,7656
Sep 1 2014,ANTONIO NARINO,4451
Sep 1 2014,BARRIOS UNIDOS,8600
Sep 1 2014,BOSA,15226
Sep 1 2014,CANDELARIA,1471
Sep 1 2014,CHAPINERO,12349
Sep 1 2014,CIUDAD BOLIVAR,15456
Sep 1 2014,ENGATIVA,26635
Sep 1 2014,FONTIBON,11573
Sep 1 2014,KENNEDY,30242
Sep 1 2014,LOS MARTIRES,6201
Sep 1 2014,PUENTE ARANDA,11302
Sep 1 2014,RAFAEL URIBE URIBE,12883
Sep 1 2014,SAN CRISTOBAL,12160
Sep 1 2014,SANTA FE,7506
Sep 1 2014,SIN LOCALIZACION,1949
Sep 1 2014,SUBA,29243
Sep 1 2014,TEUSAQUILLO,8591
Sep 1 2014,TUNJUELITO,6737
Sep 1 2014,USAQUEN,17417
Sep 1 2014,USME,8845
Sep 1 2015,ANTONIO NARINO,5990
Sep 1 2015,BARRIOS UNIDOS,9994
Sep 1 2015,BOSA,19295
Sep 1 2015,CANDELARIA,2179
Sep 1 2015,CHAPINERO,14040
Sep 1 2015,CIUDAD BOLIVAR,17916
Sep 1 2015,ENGATIVA,31797
Sep 1 2015,FONTIBON,14812
Sep 1 2015,KENNEDY,37258
Sep 1 2015,LOS MARTIRES,8009
Sep 1 2015,PUENTE ARANDA,14402
Sep 1 2015,RAFAEL URIBE URIBE,13563
Sep 1 2015,SAN CRISTOBAL,14277
Sep 1 2015,SANTA FE,9337
Sep 1 2015,SIN LOCALIZACION,931
Sep 1 2015,SUBA,34457
Sep 1 2015,TEUSAQUILLO,10685
Sep 1 2015,TUNJUELITO,7944
Sep 1 2015,USAQUEN,21088
Sep 1 2015,USME,9645
Sep 1 2016,ANTONIO NARINO,4706
Sep 1 2016,BARRIOS UNIDOS,8510
Sep 1 2016,BOSA,14208
Sep 1 2016,CANDELARIA,1738
Sep 1 2016,CHAPINERO,13395
Sep 1 2016,CIUDAD BOLIVAR,13153
Sep 1 2016,ENGATIVA,23596
Sep 1 2016,FONTIBON,11926
Sep 1 2016,KENNEDY,29015
Sep 1 2016,LOS MARTIRES,7486
Sep 1 2016,PUENTE ARANDA,10804
Sep 1 2016,RAFAEL URIBE URIBE,10257
Sep 1 2016,SAN CRISTOBAL,10128
Sep 1 2016,SANTA FE,8817
Sep 1 2016,SIN LOCALIZACION,59343
Sep 1 2016,SUBA,29974
Sep 1 2016,TEUSAQUILLO,9509
Sep 1 2016,TUNJUELITO,5673
Sep 1 2016,USAQUEN,18081
Sep 1 2016,USME,5540
Sep 1 2017,ANTONIO NARINO,4482
Sep 1 2017,BARRIOS UNIDOS,8307
Sep 1 2017,BOSA,17462
Sep 1 2017,CANDELARIA,1652
Sep 1 2017,CHAPINERO,11514
Sep 1 2017,CIUDAD BOLIVAR,17945
Sep 1 2017,ENGATIVA,26478
