account_id,account_name,event_id,event_name,total_deposits
51,Organizador 51,293,Evento 293,20
51,Organizador 51,396,Evento 396,334
18,Organizador 18,11816,Evento 11816,3
18,Organizador 18,9309,Evento 9309,909
51,Organizador 51,320,Evento 320,399
18,Organizador 18,1645,Evento 1645,35
18,Organizador 18,9890,Evento 9890,32
51,Organizador 51,9003,Evento 9003,330
51,Organizador 51,507,Evento 507,223
51,Organizador 51,11125,Evento 11125,2
26,Organizador 26,490,Evento 490,44
36,Organizador 36,11648,Evento 11648,1
18,Organizador 18,6379,Evento 6379,53
51,Organizador 51,383,Evento 383,10
51,Organizador 51,581,Evento 581,315
18,Organizador 18,15540,Evento 15540,3268
26,Organizador 26,664,Evento 664,48
51,Organizador 51,392,Evento 392,112
45,Organizador 45,299,Evento 299,597
26,Organizador 26,8270,Evento 8270,25
24,Organizador 24,267,Evento 267,37
36,Organizador 36,11965,Evento 11965,8
26,Organizador 26,9144,Evento 9144,42
36,Organizador 36,9527,Evento 9527,1
36,Organizador 36,10478,Evento 10478,4
51,Organizador 51,268,Evento 268,97
18,Organizador 18,13801,Evento 13801,19
36,Organizador 36,1938,Evento 1938,28
51,Organizador 51,349,Evento 349,707
18,Organizador 18,4187,Evento 4187,69
51,Organizador 51,5248,Evento 5248,192
36,Organizador 36,8417,Evento 8417,54
36,Organizador 36,15623,Evento 15623,2
18,Organizador 18,12058,Evento 12058,292
36,Organizador 36,5202,Evento 5202,1711
18,Organizador 18,7116,Evento 7116,17
51,Organizador 51,430,Evento 430,921
18,Organizador 18,1500,Evento 1500,30
36,Organizador 36,280,Evento 280,37
26,Organizador 26,160,Evento 160,4
36,Organizador 36,15526,Evento 15526,7
26,Organizador 26,10512,Evento 10512,33
26,Organizador 26,13769,Evento 13769,22
51,Organizador 51,10353,Evento 10353,86
24,Organizador 24,12647,Evento 12647,20
51,Organizador 51,272,Evento 272,82
24,Organizador 24,2029,Evento 2029,102
26,Organizador 26,8155,Evento 8155,2
36,Organizador 36,4392,Evento 4392,1
18,Organizador 18,12951,Evento 12951,25
18,Organizador 18,3489,Evento 3489,176
26,Organizador 26,13131,Evento 13131,14
18,Organizador 18,15063,Evento 15063,40
